"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"100001153","Lipid","Fatty Acid, Dicarboxylate","2-hydroxyadipate","2-hydroxyadipate",167943,"HMDB0000321",193530,"C02360","3.45315094167491","0.0271449244096027","0.917359797767763","0.0284788091207392","-0.00832106689725184","-0.0258380875239346",0.938788342108131,1
"100001162","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","propionylcarnitine (C3)","propionylcarnitine (C3)",96904,"HMDB0000824",107738,"C03017","5.36969645128548","0.102606499253131","0.120615838874522","0.100685530150124","-0.0812274296784047","0.0626912941070979",0.297495772704616,1
"100001170","Amino Acid","Leucine, Isoleucine and Valine Metabolism","3-hydroxy-2-ethylpropionate","3-hydroxy-2-ethylpropionate",164207,"HMDB0000396",188979,NA,"4.98346238892002","0.220319230522629","0.000582040708864699","0.240767937222467","-0.212274059975803","0.058993955618118",0.0105714835726356,0.45457379362333
"100001181","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","docosapentaenoate (n3 DPA; 22:5n3)","docosapentaenoate (DPA; 22:5n3)",NA,"HMDB0006528,HMDB0001976",6441454,"C16513","2.55688266472148","0.206696475091118","0.135524324644405","0.182592558163138","0.114087684806399","-0.172358443340062",0.31689969325533,1
"100001182","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","docosadienoate (22:2n6)","docosadienoate (22:2n6)",4445934,"HMDB0061714",5282807,"C16533","3.70214346322937","0.12917236217319","0.466251499138528","0.130209448682682","-0.0686748472054151","-0.109404133883115",0.641095811315476,1
"100001193","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","adrenate (22:4n6)","adrenate (22:4n6)",4445971,"HMDB0002226",52828445497181,"C16527","2.55350944202678","0.22957009135459","0.093375360528732","0.196480443182039","0.12735797155645","-0.191003596629962",0.257398959176865,1
"100001198","Lipid","Long Chain Monounsaturated Fatty Acid","myristoleate (14:1n5)","myristoleate (14:1n5)",4444564,"HMDB0002000",5281119,"C08322","5.2922129564316","0.0564633948156437","0.744804612812786","0.0522111925898839","-0.0472349668795467","0.0309349779052029",0.833800559304421,1
"100001208","Amino Acid","Histidine Metabolism","1-methyl-4-imidazoleacetate","1-methyl-4-imidazoleacetate",68319,"HMDB0002820",75810,"C05828","1.4830590481262","0.307146792840883","1.15050127734821e-06","0.248886023116629","0.305965369090635","0.0269136632525524",0.000256205865702639,0.000898541497608952
"100001211","Lipid","Fatty Acid, Dicarboxylate","sebacate (C10-DC)","sebacate (C10-DC)",5004,"HMDB0000792",5192,"C08277","5.31616427124456","0.161671254768775","0.324774986963938","0.14180246297689","-0.133087461461564","0.091789553982067",0.522988174884197,1
"100001247","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","octanoylcarnitine (C8)","octanoylcarnitine (C8)",110274,"HMDB0000791",12370111953814,"C02838","5.38652814951445","0.237598728122796","0.0226118484226108","0.240448204938503","-0.18562272157915","0.14831507286557",0.118032499342097,1
"100001253","Amino Acid","Glutamate Metabolism","N-acetylglutamine","N-acetylglutamine",158492,"HMDB0006029",182230,"C02716","4.77235556193427","0.11784885944398","0.0668507854689491","0.110715619286639","-0.117637031219863","0.00706275852794296",0.221230777335802,1
"100001256","Amino Acid","Phenylalanine Metabolism","N-acetylphenylalanine","N-acetylphenylalanine",67404,"HMDB0000512",74839,"C03519","5.17207314467437","0.132166785589875","0.0348431559687943","0.138306665550319","-0.118446904132334","0.0586377874294865",0.148761990622042,1
"100001257","Amino Acid","Alanine and Aspartate Metabolism","N-acetylasparagine","N-acetylasparagine",90090,"HMDB0006028",99715,NA,"2.36898226248364","0.0653374859672273","0.182442217214511","0.063997699602212","0.0456060155336367","-0.0467875883078335",0.380580543896452,1
"100001258","Peptide","Dipeptide","glycylleucine","glycylleucine",83812,"HMDB0000759",92843,"C02155","5.73678368002544","0.339570100057714","0.0625529128538239","0.344924910740495","-0.176446108220892","0.290128633104192",0.219075448156217,1
"100001259","Amino Acid","Glutathione Metabolism","S-methylglutathione","S-methylglutathione",2841309,NA,115260,"C11347","5.00961317190837","0.0521111766120085","0.488082456204518","0.0501618360285615","-0.0498262638481321","0.0152616564901804",0.655990527349542,1
"100001262","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamyl-epsilon-lysine","gamma-glutamyl-epsilon-lysine",5378717,"HMDB0003869",7015685,NA,"0.723552684812376","0.0577685986731644","0.720687552447871","0.0561552249297184","0.0382457835870242","0.0432951617444217",0.821689019652244,1
"100001263","Lipid","Lysophospholipid","1-palmitoyl-GPC (16:0)","1-palmitoyl-GPC (16:0)",78064,"HMDB0010382",86554,"C04102","0.117149348025403","0.0260436973104201","0.687833494683208","0.0264614377849375","0.00304402830370179","0.02586519014589",0.801264158725106,1
"100001266","Amino Acid","Urea cycle; Arginine and Proline Metabolism","N-acetylarginine","N-acetylarginine",60752,"HMDB0004620",67427,"C02562","2.67542914865115","0.0268324184927378","0.760551645284215","0.0253875095850389","0.0120601649171968","-0.0239693784721139",0.839997309917056,1
"100001270","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","myristoylcarnitine (C14)","myristoylcarnitine (C14)",4932274,"HMDB000506",6426854,NA,"5.07941625603745","0.214948082411011","0.00567522094830598","0.220180044284597","-0.20063215482679","0.0771324612710484",0.0500955109961275,1
"100001271","Lipid","Lysophospholipid","1-stearoyl-GPC (18:0)","1-stearoyl-GPC (18:0)",435389,"HMDB0010384",497300,NA,"0.570067572140504","0.037156951857047","0.383421292168182","0.0369231722212584","0.0200531958332782","0.0312811190365547",0.57976883383014,1
