"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"100001668","Amino Acid","Histidine Metabolism","1-ribosyl-imidazoleacetate*","1-ribosyl-imidazoleacetate*",4292299,"HMDB0002331",440569,"C05131",0.156143283457858,"5.43955602743871","4.20097660114094","0.238119348910304","0.158106457616966",0.83549729217431,1,0.409503425465708
"100001694","Nucleotide","Purine Metabolism, Adenine containing","adenosine 2'-monophosphate (2'-AMP)","2'-AMP",NA,"HMDB0011617",94136,"C00946",0.992188026169928,"5.39859226137257","5.35225950071382","0.203101498839868","0.195561782519041",0.998566790368301,1,0.0378294957554254
"100001734","Amino Acid","Lysine Metabolism","N6-acetyllysine","N6-acetyllysine",83801,"HMDB0000206",92832,"C02727",0.0695790424912812,"5.51859942581856","6.27834000126609","0.200073429447687","0.117504096583648",0.524692017077007,1,0.532211248886272
"100001740","Carbohydrate","Fructose, Mannose and Galactose Metabolism","mannitol/sorbitol","mannitol/sorbitol",440,"HMDB0000247,HMDB0000765",57806251,"C00392,C00794",0.652970376572797,"5.39924828859957","5.32237513075463","0.158196242424808","0.114727263172703",0.996057507306226,1,0.321278615973828
"100001810","Amino Acid","Urea cycle; Arginine and Proline Metabolism","dimethylarginine (SDMA + ADMA)","dimethylarginine (ADMA + SDMA)",110375,"HMDB0003334,HMDB0001539",123831169148,"C21189,C03626",0.929976510779021,"5.44179338994063","5.40169080508044","0.188695410708732","0.158158273620729",0.996057507306226,1,0.176537868105024
"100001856","Lipid","Phosphatidylethanolamine (PE)","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","1-stearoyl-2-oleoyl-GPE (18:0/18:1)",NA,"HMDB0008993",9546742,NA,0.0494392184878304,"1.36322872667143","3.23969338101741","0.0420001505514303","0.0603226240068871",0.522422909202572,1,-0.362034021359168
"100002102","Nucleotide","Pyrimidine Metabolism, Uracil containing","N-acetyl-beta-alanine","N-acetyl-beta-alanine",68881,"HMDB0061880",76406,"C01073",0.605470910966833,"4.42970908339315","4.71957382838551","0.0637051840584442","0.120387483616765",0.996057507306226,1,-0.636449629139555
"100002113","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","cysteine sulfinic acid","cysteine sulfinic acid",107,"HMDB0000996",109,"C00606",0.334648611547381,"1.00052063797723","1.36044653959594","0.0458738121527018","0.143240326990533",0.905923300185419,1,-1.13862941503303
"100002167","Lipid","Eicosanoid","12-HETE","12-HETE",21509475,"HMDB0006111",5283155,"C14777",0.164408319864295,"2.5650359285799","2.02615461075644","0.252759466909968","0.0729636142882309",0.859266124573768,1,1.24247743034623
"100002180","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates","Isobar: hexose diphosphates",NA,"HMDB0001058,HMDB0003514",3.9341243839561e+46,"C01231,C00354,C05378",0.0308857027598358,"0.709636803997296","4.36723860035576","0.0909911127402576","0.188218846602398",0.444298373025921,1,-0.726843523936596
"100002204","Amino Acid","Histidine Metabolism","N-acetyl-3-methylhistidine*","N-acetyl-3-methylhistidine*",19993498,NA,193270,NA,0.156844257014672,"1.85431344400446","1.97061967208464","0.721720476472417","0.319578567001994",0.83549729217431,1,0.81463476253284
"100002284","Lipid","Fatty Acid, Dihydroxy","2S,3R-dihydroxybutyrate","2S,3R-dihydroxybutyrate",9139682,"HMDB0002453",10964471,NA,0.928846274386192,"5.16293779085795","5.28316981872656","0.317363751396196","0.317900921791666",0.996057507306226,1,-0.0016911707707675
"100002285","Lipid","Fatty Acid, Dihydroxy","2,4-dihydroxybutyrate","2,4-dihydroxybutyrate",167259,"HMDB0000360",192742,NA,0.963694628007468,"4.74937393301149","4.86696602378931","0.14886744602905","0.13327886259345",0.996057507306226,1,0.110612641609695
"100002458","Amino Acid","Leucine, Isoleucine and Valine Metabolism","3-methylglutaconate","3-methylglutaconate",1267861,"HMDB0000522",1551553,NA,0.17023277473481,"4.54549228216396","5.03846733407586","0.137846122184754","0.194060349000185",0.865134457187469,1,-0.342031181622533
"100002462","Amino Acid","Lysine Metabolism","5-(galactosylhydroxy)-L-lysine","5-(galactosylhydroxy)-L-lysine",NA,NA,66995551,NA,0.663607086302324,"5.08971301618396","4.52814031823326","0.0759624635044085","0.0835581796798785",0.996057507306226,1,-0.0953038348445506
"100002500","Amino Acid","Histidine Metabolism","formiminoglutamate","formiminoglutamate",388370,"HMDB0000854",439233,"C00439",0.8833364061317,"4.8659000044484","5.18927966887208","0.170306012746201","0.196186151525102",0.996057507306226,1,-0.141467067345325
"100002528","Xenobiotics","Chemical","sulfate*","sulfate*",1086,"HMDB01448",5152822,"C00059",0.675314171762615,"4.63661511647448","4.9682502210308","0.159780236274671","0.136635764264187",0.996057507306226,1,0.156480617480511
"100002668","Xenobiotics","Drug - Other","N-carbamoylglutamate","N-carbamoylglutamate",108351,"HMDB0062795",3679006,"C05829",0.327305672483894,"5.79660605359404","5.04013136203479","0.114930433151435","0.16316334682861",0.905923300185419,1,-0.350424810592961
"100002733","Nucleotide","Purine Metabolism, Guanine containing","guanosine 2'-monophosphate (2'-GMP)*","guanosine 2'-monophosphate (2'-GMP)*",392466,"HMDB0240586",135460966,NA,0.602022728126681,"5.37851514603158","5.84568710425222","0.239187927980628","0.209208269318242",0.996057507306226,1,0.133919292795076
"100002769","Amino Acid","Urea cycle; Arginine and Proline Metabolism","argininate*","argininate*",140984,"HMDB0003148",160437,NA,0.0700852152774341,"2.85703201293708","1.74294570570346","0.0371781350501573","0.16084081474242",0.524692017077007,1,-1.46469432655505
"100003000","Lipid","Lysoplasmalogen","1-(1-enyl-palmitoyl)-GPE (P-16:0)*","1-(1-enyl-palmitoyl)-GPE (P-16:0)*",10471193,"HMDB0011152",NA,NA,0.652384749319675,"5.75218347750601","5.86798730972074","0.0981890169093514","0.0586798883745121",0.996057507306226,1,0.514797314006984
"100003151","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)","linoleoylcarnitine (C18:2)*","linoleoylcarnitine (C18:2)*",4952667,"HMDB0006469",6450015,NA,0.933497472657169,"4.76351249114298","4.86711815393073","0.228043190653677","0.261772111829019",0.996057507306226,1,-0.13793927937847
"100003169","Peptide","Dipeptide","isoleucylglycine","isoleucylglycine",303621,"HMDB0028907",342532,NA,0.325380073664057,"5.53459991711988","6.22831020161573","0.292414156855464","0.476738601459589",0.905923300185419,1,-0.488797192590771
"100003185","Peptide","Dipeptide","leucylglycine","leucylglycine",71402,"HMDB0028929",79070,NA,0.740786686163661,"5.72671320459949","6.00035419953505","0.142011641093901","0.190430118184916",0.996057507306226,1,-0.293376259816206
"100003258","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","2-O-methylascorbic acid","2-O-methylascorbic acid",90149,"HMDB0240294",54726398,NA,0.96015978480846,"4.72733492334069","4.89698378858027","0.0732945447033069","0.0789089679945571",0.996057507306226,1,-0.0738087023037689
"100003588","Peptide","Dipeptide","phenylalanylglycine","phenylalanylglycine",88678,"HMDB0028995",6992304,NA,0.797291681805252,"5.65759052763967","5.93789400930924","0.353265160056336","0.389023364411153",0.996057507306226,1,-0.0964204679830806
"100003598","Peptide","Dipeptide","tyrosylglycine","tyrosylglycine",227627,"HMDB0029105",7021854,NA,0.924151268246691,"5.57905939000308","5.74989919453972","0.230566648906303","0.220932378639725",0.996057507306226,1,0.0426832942183794
