GENE_SYMBOLS,refseq_ids
SYNE2,NM_015180
GABARAPL2,NM_007285
IFITM3,NM_021034
YWHAZ,NM_001135699
DST,NM_001144769
DYNLL2,NM_080677
MICOS10,NM_001032363
SYP,NM_003179
BARD1,NM_000465
ADGRG2,NM_001079858
TH2LCRR,NR_132124
TRAF6,NM_004620
RPL23,NM_000978
HIST1H2AC,NA
HEXIM1,NM_006460
ACSM3,NM_005622
CEBPD,NM_005195
PAK1,NM_001128620
MEP1B,NM_001308171
PCBP1,NM_006196
SAMD4A,NM_001161576
STK24,NM_001032296
SCAND1,NM_001385710
ARPP19,NM_001306191
ATOH8,NM_032827
CNTNAP3C,XM_011545672
CEACAM1,NM_001024912
DEPP1,NM_007021
SNRPN,NM_001349454
FKBP5,NM_001145775
MAF,NM_001031804
SQLE,NM_003129
PSRC1,NM_001005290
PPP1R35,NM_001346938
ANAPC11,NM_001002244
EIF4H,NM_022170
ATP6V0B,NM_001039457
RAN,NM_001300796
SNU13,NM_001003796
ABCC9,NM_001377273
PRSS51,XM_047422509
PSMB6,NM_001270481
HES1,NM_005524
OIP5,NM_001317860
CXCL17,NM_198477
ADAM12,NM_001288973
PRDX5,NM_001358511
RADIL,NM_018059
ATP5MC1,NM_001002027
C9orf16,NA
WNT7A,NM_004625
P4HA2,NM_001017974
C11orf80,NM_001302084
CCDC115,NM_001321118
TPST1,NM_003596
IGSF10,NM_001178145
PCDHGA1,NM_018912
GADD45A,NM_001199741
CAPNS1,NM_001003962
CPNE8,NM_153634
HHIP,NM_022475
INHA,NM_002191
RPS20,NM_001023
SERPINI2,NM_001012303
TAF13,NM_005645
GABRA1,NM_000806
SPDYE5,NM_001099435
SUMO2,NM_001005849
ITGB1,NM_002211
PDE8B,NM_001029851
VSIR,NM_022153
SLC19A2,NM_001319667
SF3B5,NM_031287
CTTNBP2NL,NM_018704
SMAD3,NM_001145102
CDC7,NM_001134419
TCEAL4,NM_001006935
KLHL26,NM_001345981
BCL2L2,NM_001199839
KLHDC3,NM_001242872
FDPS,NM_001135821
ANGPTL1,NM_001376763
IQCJ-SCHIP1,NM_001197113
ZNF618,NM_001040063
WBP11,NM_016312
SLC25A22,NM_001191060
UQCR11,NM_006830
TRIM45,NM_001145635
WDR88,NM_173479
SHISA5,NM_001272065
PPP1R3C,NM_005398
C5orf64,NR_126523
GHITM,NM_014394
SRD5A3,NM_001410732
ATP5IF1,NM_016311
CYCS,NM_018947
HOPX,NM_001145459
SERPING1,NM_000062
C1R,NM_001354346
ZNF891,NM_001277291
NDUFB11,NM_001135998
PCMT1,NM_001252049
ANXA11,NM_001157
RTL8C,NM_001078171
LGALS1,NM_002305
VAMP2,NM_001330125
UQCRQ,NM_014402
SPDYE2,NM_001031618
DOCK11,NM_144658
DYNLT3,NM_006520
POMZP3,NM_012230
OPCML,NM_001012393
H2AFZ,NA
NRARP,NM_001004354
STAT3,NM_001369512
UBL5,NM_001048241
SLC39A14,NM_001128431
FILIP1,NM_001289987
KCNAB1,NM_001308217
CA1,NM_001128829
ATP5MD,NA
BSN,NM_003458
RCN1,NM_002901
YTHDF1,NM_017798
NDUFAB1,NM_005003
UBE2B,NM_003337
TRMT112,NM_001286082
GNG3,NM_012202
NDRG1,NM_001135242
LIN7A,NM_001324423
STMN4,NM_001283053
MKKS,NM_018848
NOD1,NM_001354849
SMARCA1,NM_001282874
NLRC5,NM_001330552
PTBP3,NM_001163788
PCSK1N,NM_013271
HS3ST3B1,NM_006041
CEBPB,NM_001285878
SNTG1,NM_001287813
GRIK2,NM_001166247
FAM186A,NM_001145475
ILDR2,NM_001410891
P2RY14,NM_001081455
MVP,NM_001293204
VBP1,NM_001303543
ZFP36,NM_003407
VXN,NM_152765
SAT1,NM_002970
C1S,NM_001346850
MYL6B,NM_001199629
PCYOX1L,NM_001301054
ITPRIPL2,NM_001034841
CHRNA4,NM_000744
TCEAL7,NM_001348258
ART4,NM_001354646
ZNRF2,NM_147128
MFSD4B,NM_153369
EEF2,NM_001961
KCTD3,NM_001319294
BAG1,NM_001172415
FABP3,NM_001320996
TSPYL4,NM_021648
AMPH,NM_001635
SOCS3,NM_001378932
RTN4R,NM_023004
ATP13A5,NM_198505
ATP2B1,NM_001001323
TIMP2,NM_003255
PGK1,NM_000291
FAM50B,NM_012135
ZSCAN1,NM_182572
SNCG,NM_001330120
TMA7,NM_001329417
ELOC,NM_001204857
IL18,NM_001243211
COX14,NM_001257133
KIF22,NM_001256269
ANKUB1,NM_001144960
TARID,NR_109982
PKD1L1,NM_138295
CD44,NM_000610
BEX1,NM_018476
FRG1-DT,NR_149038
