NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
B3GNT5	1	B3GNT5	
PTMA	1	PTMA	
PRDM8	1	PRDM8	
ANO4	1	ANO4	
PLK4	1	PLK4	
H1-10	1	H1FX	
FAM168B	1	FAM168B	
LRATD1	1	LRATD1	
ECHDC2	1	ECHDC2	
SIDT1	1	SIDT1	
ZNF747	1	ZNF747	
CCNO	1	CCNO	
DDX21	1	DDX21	
INPP4B	1	INPP4B	
SEC22A	1	SEC22A	
EHD3	1	EHD3	
PHACTR4	1	PHACTR4	
HSPH1	1	HSPH1	
KLF9	1	KLF9	
ALDH1A2	1	ALDH1A2	
RNF207	1	RNF207	
TMEM81	1	TMEM81	
PDZD11	1	PDZD11	
ALS2CL	1	ALS2CL	
IDE	1	IDE	
C2orf27A	1	C2orf27A	
NIT1	1	NIT1	
GPN3	1	GPN3	
LRMDA	1	LRMDA	
SRPRB	1	SRPRB	
ZNF574	1	ZNF574	
PLEKHB2	1	PLEKHB2	
RFX8	1	RFX8	
TMEM104	1	TMEM104	
HRK	1	HRK	
TM2D2	1	TM2D2	
SLC35A2	1	SLC35A2	
TMEM158	1	TMEM158	
MYRIP	1	MYRIP	
PLD6	1	PLD6	
JAM3	1	JAM3	
DAGLA	1	DAGLA	
ZNF671	1	ZNF671	
CBX5	1	CBX5	
KLKB1	1	KLKB1	
NDFIP1	1	NDFIP1	
GNAS	1	GNAS	
PEA15	1	PEA15	
KLHL1	1	KLHL1	
DPH6	1	DPH6	
NR4A2	1	NR4A2	
SP140L	1	SP140L	
MKRN2OS	1	MKRN2OS	
PTCSC2	1	PTCSC2	
SIPA1L3	1	SIPA1L3	
WIPI2	1	WIPI2	
ZDHHC22	1	ZDHHC22	
AKAP5	1	AKAP5	
ZMYND8	1	ZMYND8	
PPP1R16B	1	PPP1R16B	
FOXP1-IT1	1	FOXP1-IT1	
CDKN1B	1	CDKN1B	
ZFP37	1	ZFP37	
IQCM	1	IQCM	
CTDNEP1	1	CTDNEP1	
AGO3	1	AGO3	
ANAPC10	1	ANAPC10	
MARS2	1	MARS2	
ZBTB8OS	1	ZBTB8OS	
PCBP2	1	PCBP2	
MOGS	1	MOGS	
ARMCX1	1	ARMCX1	
CNIH4	1	CNIH4	
SCN3B	1	SCN3B	
MAEA	1	MAEA	
KPNA2	1	KPNA2	
COL11A1	1	COL11A1	
DRD1	1	DRD1	
INVS	1	INVS	
HEIH	1	HEIH	
CSDE1	1	CSDE1	
VASH2	1	VASH2	
SYNPO	1	SYNPO	
CBR1	1	CBR1	
TMEM17	1	TMEM17	
MYH7	1	MYH7	
PURA	1	PURA	
EIF4B	1	EIF4B	
ZNF253	1	ZNF253	
HINT3	1	HINT3	
KAZN	1	KAZN	
OR2L2	1	OR2L2	
USP46	1	USP46	
BTG1	1	BTG1	
ZNF823	1	ZNF823	
RUSF1	1	C16orf58	
SPATA31H1	1	C2orf16	
STXBP5L	1	STXBP5L	
ERVK13-1	1	ERVK13-1	
CDC34	1	CDC34	
PLS3	1	PLS3	
ZWILCH	1	ZWILCH	
CDH20	1	CDH20	
EPHB6	1	EPHB6	
DSEL	1	DSEL	
LPL	1	LPL	
RBL1	1	RBL1	
CTPS2	1	CTPS2	
ITPR1-DT	1	ITPR1-DT	
ASCC3	1	ASCC3	
CLDN4	1	CLDN4	
IQCK	1	IQCK	
BRD3	1	BRD3	
CHGA	1	CHGA	
CLSTN3	1	CLSTN3	
SRSF3	1	SRSF3	
FBXL16	1	FBXL16	
ATRNL1	1	ATRNL1	
CFAP410	1	CFAP410	
BPGM	1	BPGM	
IRF2BP2	1	IRF2BP2	
NUDT3	1	NUDT3	
PEBP1	1	PEBP1	
COX7B	1	COX7B	
EID3	1	EID3	
ATP6V0C	1	ATP6V0C	
TOR2A	1	TOR2A	
PEG3	1	PEG3	
MORN3	1	MORN3	
SCRN1	1	SCRN1	
SULT4A1	1	SULT4A1	
HERPUD1	1	HERPUD1	
BMI1	1	BMI1	
FRG1-DT	1	FRG1-DT	
SEC22B	1	SEC22B	
TRPC5	1	TRPC5	
ABLIM1	1	ABLIM1	
CDKN2D	1	CDKN2D	
ZFYVE28	1	ZFYVE28	
TMPRSS11F	1	TMPRSS11F	
TK2	1	TK2	
PDE7B	1	PDE7B	
GPKOW	1	GPKOW	
TVP23A	1	TVP23A	
PHLDA3	1	PHLDA3	
FAM98A	1	FAM98A	
SYP	1	SYP	
FBXL8	1	FBXL8	
GPRASP3	1	BHLHB9	
FAXDC2	1	FAXDC2	
CNIH2	1	CNIH2	
BSN	1	BSN	
GALK1	1	GALK1	
NR1D2	1	NR1D2	
TMED5	1	TMED5	
TUBB	1	TUBB	
CCN1	1	CCN1	
GML	1	GML	
CELSR2	1	CELSR2	
SNX3	1	SNX3	
CLPTM1	1	CLPTM1	
C9orf78	1	C9orf78	
PCGF6	1	PCGF6	
COMMD9	1	COMMD9	
RAB5C	1	RAB5C	
TBCC	1	TBCC	
MANBA	1	MANBA	
BLOC1S6	1	BLOC1S6	
LRPAP1	1	LRPAP1	
WDR64	1	WDR64	
SALL2	1	SALL2	
H2AZ2	1	H2AFV	
PYCR3	1	PYCR3	
APTR	1	APTR	
AMPD2	1	AMPD2	
SQSTM1	1	SQSTM1	
L3MBTL2	1	L3MBTL2	
CHMP4B	1	CHMP4B	
PLCB4	1	PLCB4	
PDP1	1	PDP1	
SPARCL1	1	SPARCL1	
RFK	1	RFK	
LRTM2	1	LRTM2	
DOP1B	1	DOP1B	
CKS1B	1	CKS1B	
SKAP1	1	SKAP1	
PWRN4	1	PWRN4	
ANKRD29	1	ANKRD29	
THY1	1	THY1	
IMPG2	1	IMPG2	
PEF1	1	PEF1	
B3GALT1	1	B3GALT1	
ERH	1	ERH	
SANBR	1	KIAA1841	
RGS2	1	RGS2	
PAQR8	1	PAQR8	
OR2M2	1	OR2M2	
NARS1	1	NARS	
PRDM1	1	PRDM1	
NDUFA7	1	NDUFA7	
RASD1	1	RASD1	
TRUB2	1	TRUB2	
POLR1G	1	CD3EAP	
CPHXL	1	CPHXL	
DYNLL2	1	DYNLL2	
RASSF1	1	RASSF1	
ATP8A2	1	ATP8A2	
KIFBP	1	KIF1BP	
TUBA1B	1	TUBA1B	
CFTR	1	CFTR	
SCN7A	1	SCN7A	
TMEM144	1	TMEM144	
TPO	1	TPO	
M6PR	1	M6PR	
STPG2	1	STPG2	
LRRC8D	1	LRRC8D	
C18orf21	1	C18orf21	
ING2	1	ING2	
C6orf120	1	C6orf120	
DLGAP1	1	DLGAP1	
CBX4	1	CBX4	
ERLEC1	1	ERLEC1	
SVIL	1	SVIL	
RITA1	1	RITA1	
NPTX1	1	NPTX1	
PNMA8B	1	PNMA8B	
DLG4	1	DLG4	
PIF1	1	PIF1	
HSPA5	1	HSPA5	
TMEM185B	1	TMEM185B	
ACP6	1	ACP6	
ZNF211	1	ZNF211	
SCAMP1	1	SCAMP1	
EID1	1	EID1	
COL19A1	1	COL19A1	
ANKRD31	1	ANKRD31	
CBX6	1	CBX6	
FAM8A1	1	FAM8A1	
SERPING1	1	SERPING1	
EPHB3	1	EPHB3	
CD302	1	CD302	
SLC35F3	1	SLC35F3	
PDE3B	1	PDE3B	
MAGEF1	1	MAGEF1	
TMEM130	1	TMEM130	
TMEM131L	1	TMEM131L	
ARMCX2	1	ARMCX2	
TSPYL1	1	TSPYL1	
INTS5	1	INTS5	
CTR9	1	CTR9	
DNAJB2	1	DNAJB2	
OR2M4	1	OR2M4	
NAP1L3	1	NAP1L3	
ETF1	1	ETF1	
TDRD6	1	TDRD6	
TSC22D3	1	TSC22D3	
DYNC1LI2	1	DYNC1LI2	
KLHL29	1	KLHL29	
JTB	1	JTB	
RALGAPA2	1	RALGAPA2	
PPCDC	1	PPCDC	
DNAJB9	1	DNAJB9	
LMNA	1	LMNA	
FAM241B	1	FAM241B	
RPRML	1	RPRML	
E2F4	1	E2F4	
PRMT5	1	PRMT5	
NDN	1	NDN	
KLHL20	1	KLHL20	
DNMT3B	1	DNMT3B	
TYW3	1	TYW3	
CHSY3	1	CHSY3	
POMZP3	1	POMZP3	
SELENOT	1	SELENOT	
RNF141	1	RNF141	
TOGARAM2	1	TOGARAM2	
ABHD16A	1	ABHD16A	
SLC2A9	1	SLC2A9	
ZBTB3	1	ZBTB3	
TMEM70	1	TMEM70	
SWT1	1	SWT1	
SLC7A9	1	SLC7A9	
EMD	1	EMD	
OCIAD1	1	OCIAD1	
EIF1	1	EIF1	
PSG8	1	PSG8	
LMO4	1	LMO4	
UBE2N	1	UBE2N	
HTR5A	1	HTR5A	
GDF10	1	GDF10	
RRAGC	1	RRAGC	
SLITRK1	1	SLITRK1	
CSMD1	1	CSMD1	
LGALSL-DT	1	LGALSL-DT	
SURF4	1	SURF4	
ZNF275	1	ZNF275	
SYT13	1	SYT13	
FBXL20	1	FBXL20	
DBNDD2	1	DBNDD2	
PPM1D	1	PPM1D	
WDR46	1	WDR46	
SND1-IT1	1	SND1-IT1	
DNMT3A	1	DNMT3A	
TOB1	1	TOB1	
TCEAL6	1	TCEAL6	
AP1S1	1	AP1S1	
PCSK5	1	PCSK5	
MBD5	1	MBD5	
HSBP1	1	HSBP1	
RBPMS2	1	RBPMS2	
MMS22L	1	MMS22L	
PM20D1	1	PM20D1	
RBM47	1	RBM47	
UBL4A	1	UBL4A	
NRG1-IT1	1	NRG1-IT1	
MAN2A2	1	MAN2A2	
ZBTB33	1	ZBTB33	
PSAP	1	PSAP	
FUCA2	1	FUCA2	
CHRNB2	1	CHRNB2	
SYNCRIP	1	SYNCRIP	
UAP1	1	UAP1	
TEC	1	TEC	
C1orf159	1	C1orf159	
HPCAL4	1	HPCAL4	
TUBA1C	1	TUBA1C	
YPEL4	1	YPEL4	
LIMA1	1	LIMA1	
FCHSD2	1	FCHSD2	
INSM1	1	INSM1	
KCNN2	1	KCNN2	
YIPF7	1	YIPF7	
CLU	1	CLU	
ARL1	1	ARL1	
SLC25A41	1	SLC25A41	
PSMD3	1	PSMD3	
TRAPPC9	1	TRAPPC9	
CKS2	1	CKS2	
ZNF75D	1	ZNF75D	
PAF1	1	PAF1	
PMM2	1	PMM2	
PI15	1	PI15	
GOLGA6L7	1	GOLGA6L7	
PLEKHG1	1	PLEKHG1	
FAM222B	1	FAM222B	
BICRAL	1	BICRAL	
NINL	1	NINL	
GRIN2D	1	GRIN2D	
RNF6	1	RNF6	
THSD7B	1	THSD7B	
PAPPA	1	PAPPA	
PABPC5	1	PABPC5	
ITM2B	1	ITM2B	
MAOA	1	MAOA	
WDR24	1	WDR24	
PDPK1	1	PDPK1	
SEMA5A	1	SEMA5A	
NLRP1	1	NLRP1	
VPS29	1	VPS29	
FAM20A	1	FAM20A	
CCDC7	1	CCDC7	
PCBP3	1	PCBP3	
LAMA4	1	LAMA4	
ARHGEF10L	1	ARHGEF10L	
CTBP2	1	CTBP2	
SMARCAL1	1	SMARCAL1	
ZFAND2A	1	ZFAND2A	
RBP2	1	RBP2	
TXN2	1	TXN2	
CEACAM1	1	CEACAM1	
UHMK1	1	UHMK1	
TMED1	1	TMED1	
ARF6	1	ARF6	
BEND7	1	BEND7	
CCDC127	1	CCDC127	
AMIGO2	1	AMIGO2	
LRRC3B	1	LRRC3B	
TENM2	1	TENM2	
FMN1	1	FMN1	
JAKMIP1	1	JAKMIP1	
PRMT1	1	PRMT1	
CXXC5	1	CXXC5	
HSPB1	1	HSPB1	
ZBTB14	1	ZBTB14	
PFN2	1	PFN2	
HEBP1	1	HEBP1	
ACACA	1	ACACA	
CCND2	1	CCND2	
ARHGAP4	1	ARHGAP4	
DNAJC30	1	DNAJC30	
MAGEH1	1	MAGEH1	
AFAP1L2	1	AFAP1L2	
ICAM5	1	ICAM5	
SLC35A4	1	SLC35A4	
PCBP1	1	PCBP1	
FAM131B	1	FAM131B	
TMEM199	1	TMEM199	
APLP2	1	APLP2	
SLC46A1	1	SLC46A1	
C1orf216	1	C1orf216	
LY6E-DT	1	LY6E-DT	
SNHG16	1	SNHG16	
SPRED2	1	SPRED2	
AGPAT1	1	AGPAT1	
RAB36	1	RAB36	
NALCN	1	NALCN	
TAF3	1	TAF3	
USP45	1	USP45	
IKBKB	1	IKBKB	
SGK1	1	SGK1	
NR4A3	1	NR4A3	
NHS	1	NHS	
BPNT2	1	IMPAD1	
DAB2	1	DAB2	
ARL15	1	ARL15	
NT5DC2	1	NT5DC2	
ASB2	1	ASB2	
UTP11	1	UTP11	
CLIP3	1	CLIP3	
CFAP20	1	CFAP20	
CAMKMT	1	CAMKMT	
C9orf40	1	C9orf40	
COX6A1	1	COX6A1	
KLHL41	1	KLHL41	
ARCN1	1	ARCN1	
SLC13A3	1	SLC13A3	
TAC4	1	TAC4	
FAM234A	1	FAM234A	
NSG1	1	NSG1	
CNP	1	CNP	
CCNA2	1	CCNA2	
SLC25A6	1	SLC25A6	
RUNDC3A	1	RUNDC3A	
NGB	1	NGB	
ZNF502	1	ZNF502	
PLPPR2	1	PLPPR2	
SLC25A4	1	SLC25A4	
SLC30A10	1	SLC30A10	
LYPLAL1-DT	1	LYPLAL1-DT	
HVCN1	1	HVCN1	
IL1RAP	1	IL1RAP	
CAMKV	1	CAMKV	
SLC25A22	1	SLC25A22	
RTN4RL1	1	RTN4RL1	
FMNL2	1	FMNL2	
SLC5A8	1	SLC5A8	
OR2M3	1	OR2M3	
TRAF1	1	TRAF1	
BCAS2	1	BCAS2	
SMIM13	1	SMIM13	
IFT56	1	TTC26	
ZDHHC4	1	ZDHHC4	
LRP1B	1	LRP1B	
ZNF496	1	ZNF496	
CHGB	1	CHGB	
KCNQ1	1	KCNQ1	
TUBGCP4	1	TUBGCP4	
THRA	1	THRA	
GRIP1	1	GRIP1	
DKK3	1	DKK3	
ZNF251	1	ZNF251	
TMEM163	1	TMEM163	
ARSG	1	ARSG	
ATP6AP1	1	ATP6AP1	
BLOC1S2	1	BLOC1S2	
HPCA	1	HPCA	
SV2A	1	SV2A	
APRT	1	APRT	
CHRNB1	1	CHRNB1	
HMGA1	1	HMGA1	
YWHAQ	1	YWHAQ	
B4GALT7	1	B4GALT7	
CCDC115	1	CCDC115	
ERCC8	1	ERCC8	
WWOX	1	WWOX	
THRB-IT1	1	THRB-IT1	
HSD11B1	1	HSD11B1	
SUMO3	1	SUMO3	
TMC7	1	TMC7	
NPIPB4	1	NPIPB4	
TDRD3	1	TDRD3	
BRK1	1	BRK1	
C2orf69	1	C2orf69	
BCKDK	1	BCKDK	
SSR3	1	SSR3	
PSMD10	1	PSMD10	
LYNX1	1	LYNX1	
STMN1	1	STMN1	
MAP1S	1	MAP1S	
KCNAB2	1	KCNAB2	
STK25	1	STK25	
ECM2	1	ECM2	
ANAPC2	1	ANAPC2	
GPATCH8	1	GPATCH8	
OAT	1	OAT	
MED7	1	MED7	
C1orf43	1	C1orf43	
PRDX4	1	PRDX4	
PCYOX1L	1	PCYOX1L	
PGAP4	1	TMEM246	
HSP90B1	1	HSP90B1	
OXGR1	1	OXGR1	
VIT	1	VIT	
PKD2L2	1	PKD2L2	
MAP2K5	1	MAP2K5	
SLC19A3	1	SLC19A3	
EEF2	1	EEF2	
WDR25	1	WDR25	
CDHR3	1	CDHR3	
THAP12	1	THAP12	
SLITRK4	1	SLITRK4	
DHRSX	1	DHRSX	
ZFP1	1	ZFP1	
BRD9	1	BRD9	
ALAD	1	ALAD	
GSG1	1	GSG1	
CENPP	1	CENPP	
SPTSSA	1	SPTSSA	
NOP9	1	NOP9	
SPDYE3	1	SPDYE3	
SETBP1	1	SETBP1	
ARHGAP12	1	ARHGAP12	
ARL8B	1	ARL8B	
PIANP	1	PIANP	
SPINT2	1	SPINT2	
TSSC4	1	TSSC4	
HSPA13	1	HSPA13	
CCKBR	1	CCKBR	
UBE2Q1	1	UBE2Q1	
SEPTIN5	1	SEPTIN5	
CACNA1D	1	CACNA1D	
UBE4B	1	UBE4B	
ITPKA	1	ITPKA	
PLET1	1	PLET1	
PNMA6A	1	PNMA6A	
PRORP	1	PRORP	
ATP6V1E1	1	ATP6V1E1	
NUP50	1	NUP50	
MAP1B	1	MAP1B	
CCDC106	1	CCDC106	
TYRO3	1	TYRO3	
MSTO1	1	MSTO1	
AP1S2	1	AP1S2	
ARL2BP	1	ARL2BP	
MYO9B	1	MYO9B	
TOR1A	1	TOR1A	
ETV5	1	ETV5	
C2orf49	1	C2orf49	
SNIP1	1	SNIP1	
CPNE6	1	CPNE6	
PLD2	1	PLD2	
SLC66A1L	1	SLC66A1L	
CCK	1	CCK	
BUB3	1	BUB3	
CAPN14	1	CAPN14	
UPP1	1	UPP1	
RBM6	1	RBM6	
SMPD2	1	SMPD2	
TTC12	1	TTC12	
PRSS51	1	PRSS51	
PIP4K2B	1	PIP4K2B	
MRPL41	1	MRPL41	
PWWP2B	1	PWWP2B	
NAA25	1	NAA25	
MEGF8	1	MEGF8	
MYBPHL	1	MYBPHL	
NLRC4	1	NLRC4	
FAM174C	1	FAM174C	
SGSH	1	SGSH	
FGF7	1	FGF7	
RAI14	1	RAI14	
ACSS2	1	ACSS2	
EOLA1	1	CXorf40A	
CTSF	1	CTSF	
SCFD2	1	SCFD2	
CD164	1	CD164	
LANCL1	1	LANCL1	
NDUFS3	1	NDUFS3	
LSAMP	1	LSAMP	
SLC25A3	1	SLC25A3	
AMBRA1	1	AMBRA1	
MFSD11	1	MFSD11	
STARD3NL	1	STARD3NL	
UBL7	1	UBL7	
PPA1	1	PPA1	
HIGD1A	1	HIGD1A	
NKIRAS2	1	NKIRAS2	
SSU72	1	SSU72	
PLEKHG3	1	PLEKHG3	
PMPCA	1	PMPCA	
SF3A1	1	SF3A1	
TSIX	1	TSIX	
TEX264	1	TEX264	
NSUN5	1	NSUN5	
NEUROD6	1	NEUROD6	
LIMK2	1	LIMK2	
REXO4	1	REXO4	
FUT1	1	FUT1	
SLCO3A1	1	SLCO3A1	
FLT3	1	FLT3	
ELOVL6	1	ELOVL6	
USH2A	1	USH2A	
NMNAT1	1	NMNAT1	
LTB4R	1	LTB4R	
PNPLA7	1	PNPLA7	
YWHAZ	1	YWHAZ	
GARRE1	1	KIAA0355	
MYADML2	1	MYADML2	
PPP6R1	1	PPP6R1	
MFSD6	1	MFSD6	
MFAP1	1	MFAP1	
NVL	1	NVL	
NOMO3	1	NOMO3	
PRDM5	1	PRDM5	
PCDHA9	1	PCDHA9	
CEP95	1	CEP95	
LAMC1	1	LAMC1	
POLE	1	POLE	
SLC3A1	1	SLC3A1	
PALD1	1	PALD1	
ZMYM3	1	ZMYM3	
PHACTR2	1	PHACTR2	
STAG3	1	STAG3	
FGF1	1	FGF1	
HSPBAP1	1	HSPBAP1	
CNIH1	1	CNIH1	
TMEM59	1	TMEM59	
ATP11C	1	ATP11C	
TMEM248	1	TMEM248	
ACTC1	1	ACTC1	
SPSB3	1	SPSB3	
ZNF568	1	ZNF568	
ARL4A	1	ARL4A	
SEC62	1	SEC62	
PRKRIP1	1	PRKRIP1	
POP7	1	POP7	
EFCAB10	1	EFCAB10	
DPY19L3	1	DPY19L3	
HEXIM1	1	HEXIM1	
MED29	1	MED29	
CYS1	1	CYS1	
DUSP7	1	DUSP7	
CACNB3	1	CACNB3	
LRRC10B	1	LRRC10B	
CFAP97	1	CFAP97	
G6PD	1	G6PD	
CDKN1A	1	CDKN1A	
SUPT5H	1	SUPT5H	
USP5	1	USP5	
RHBDD1	1	RHBDD1	
CASTOR3P	1	CASTOR3	
PSME3	1	PSME3	
KLF15	1	KLF15	
RTL5	1	RTL5	
ARHGEF6	1	ARHGEF6	
SSB	1	SSB	
ZNF440	1	ZNF440	
BAIAP2-DT	1	BAIAP2-DT	
DNAJB1	1	DNAJB1	
VAPB	1	VAPB	
TAF6	1	TAF6	
ADH5	1	ADH5	
NEDD4	1	NEDD4	
STEAP2	1	STEAP2	
MEIS3	1	MEIS3	
ZDHHC14	1	ZDHHC14	
ATP6V0B	1	ATP6V0B	
NEK3	1	NEK3	
SAP18	1	SAP18	
PPARA	1	PPARA	
PLCXD2	1	PLCXD2	
CYP3A5	1	CYP3A5	
AKAP17A	1	AKAP17A	
EEF1A1	1	EEF1A1	
GPC5	1	GPC5	
GLP2R	1	GLP2R	
ARID5A	1	ARID5A	
ATP5PO	1	ATP5PO	
ACTB	1	ACTB	
HMGN4	1	HMGN4	
TMEM132C	1	TMEM132C	
BTF3	1	BTF3	
TPT1	1	TPT1	
HACD4	1	HACD4	
SOD2	1	SOD2	
OGFOD2	1	OGFOD2	
KCNG1	1	KCNG1	
ANKRD36B	1	ANKRD36B	
TSHZ2	1	TSHZ2	
KCTD21	1	KCTD21	
TENT4B	1	TENT4B	
MRPL32	1	MRPL32	
TCTE1	1	TCTE1	
MANBAL	1	MANBAL	
SETD2	1	SETD2	
DSCAML1	1	DSCAML1	
ADGRF5	1	ADGRF5	
POLR1E	1	POLR1E	
ZNF596	1	ZNF596	
ANKS1B	1	ANKS1B	
ADCK2	1	ADCK2	
ROMO1	1	ROMO1	
ARHGEF2	1	ARHGEF2	
SSC5D	1	SSC5D	
ZNF850	1	ZNF850	
RGL4	1	RGL4	
DKC1	1	DKC1	
ELK1	1	ELK1	
USP49	1	USP49	
EIF2S1	1	EIF2S1	
PNPLA4	1	PNPLA4	
STARD13	1	STARD13	
MCF2L2	1	MCF2L2	
FAM120B	1	FAM120B	
STIP1	1	STIP1	
MCFD2	1	MCFD2	
RNF40	1	RNF40	
IQCD	1	IQCD	
SPCS3	1	SPCS3	
PRAF2	1	PRAF2	
C8orf34	1	C8orf34	
SUGCT	1	SUGCT	
F5	1	F5	
NCKIPSD	1	NCKIPSD	
MOGAT1	1	MOGAT1	
NOMO1	1	NOMO1	
RARB	1	RARB	
ORC6	1	ORC6	
TFDP2	1	TFDP2	
NCOA4	1	NCOA4	
RNF216	1	RNF216	
USP7	1	USP7	
SNU13	1	SNU13	
SLC22A17	1	SLC22A17	
ANKRD36	1	ANKRD36	
QRFPR	1	QRFPR	
IQANK1	1	IQANK1	
AP5S1	1	AP5S1	
SEL1L	1	SEL1L	
CHCHD5	1	CHCHD5	
CMC1	1	CMC1	
TIMM17A	1	TIMM17A	
ZNF692	1	ZNF692	
PMEPA1	1	PMEPA1	
ZFAND3	1	ZFAND3	
LACC1	1	LACC1	
FAM169BP	1	FAM169B	
ZFP28	1	ZFP28	
RAB1B	1	RAB1B	
ZC2HC1B	1	ZC2HC1B	
ZCCHC14	1	ZCCHC14	
DHPS	1	DHPS	
ZNF581	1	ZNF581	
PCSK1N	1	PCSK1N	
ZNF700	1	ZNF700	
HSDL1	1	HSDL1	
KNSTRN	1	KNSTRN	
DBI	1	DBI	
SLC38A11	1	SLC38A11	
KDELR2	1	KDELR2	
TCEA3	1	TCEA3	
ARID3B	1	ARID3B	
GAL3ST3	1	GAL3ST3	
ADGRA3	1	ADGRA3	
ESAM	1	ESAM	
LAMTOR1	1	LAMTOR1	
ERC1	1	ERC1	
IQCN	1	IQCN	
CLPP	1	CLPP	
PPP1R9B	1	PPP1R9B	
MRPL43	1	MRPL43	
JAK2	1	JAK2	
TMEM151B	1	TMEM151B	
RASGEF1C	1	RASGEF1C	
ZIK1	1	ZIK1	
GPR87	1	GPR87	
FGF14	1	FGF14	
VMA21	1	VMA21	
ST8SIA3	1	ST8SIA3	
DUSP26	1	DUSP26	
WDR93	1	WDR93	
CACNA2D3	1	CACNA2D3	
RPS12	1	RPS12	
ZNF408	1	ZNF408	
FAM78B	1	FAM78B	
CBFA2T2	1	CBFA2T2	
DHRS7	1	DHRS7	
PES1	1	PES1	
BCL7B	1	BCL7B	
XBP1	1	XBP1	
TNFRSF19	1	TNFRSF19	
SNHG6	1	SNHG6	
CYP26B1	1	CYP26B1	
GFAP	1	GFAP	
ALOX12	1	ALOX12	
SYN1	1	SYN1	
CHERP	1	CHERP	
CALCOCO2	1	CALCOCO2	
ITGA2B	1	ITGA2B	
ADIPOR1	1	ADIPOR1	
MLF2	1	MLF2	
KDM2A	1	KDM2A	
MIPEP	1	MIPEP	
ACOT4	1	ACOT4	
POLA1	1	POLA1	
SPDYE6	1	SPDYE6	
NWD1	1	NWD1	
ZDHHC11B	1	ZDHHC11B	
ATXN7L3	1	ATXN7L3	
ARMCX3	1	ARMCX3	
FBXO42	1	FBXO42	
AUTS2	1	AUTS2	
CCDC175	1	CCDC175	
GHRLOS	1	GHRLOS	
AGAP2	1	AGAP2	
OLIG1	1	OLIG1	
LAMP5	1	LAMP5	
KTI12	1	KTI12	
LSM1	1	LSM1	
RPL15	1	RPL15	
HES4	1	HES4	
EPOP	1	EPOP	
DUSP14	1	DUSP14	
VEGFD	1	VEGFD	
CAP1	1	CAP1	
PSMA2	1	PSMA2	
CSTPP1	1	C11orf49	
IGFBP3	1	IGFBP3	
CEP295	1	CEP295	
PNMA5	1	PNMA5	
PACS1	1	PACS1	
TXNDC17	1	TXNDC17	
METTL24	1	METTL24	
HCN4	1	HCN4	
DNAJC8	1	DNAJC8	
CSNK2B	1	CSNK2B	
HSPA9	1	HSPA9	
SOCS5	1	SOCS5	
GREB1	1	GREB1	
GDPD1	1	GDPD1	
C17orf67	1	C17orf67	
PSMB5	1	PSMB5	
GREB1L	1	GREB1L	
CAMK1G	1	CAMK1G	
ADK	1	ADK	
DST	1	DST	
ATP6V1A	1	ATP6V1A	
TMEM141	1	TMEM141	
SET	1	SET	
CCDC88A	1	CCDC88A	
PCAT1	1	PCAT1	
GDI1	1	GDI1	
CCDC157	1	CCDC157	
USP1	1	USP1	
AOPEP	1	AOPEP	
B3GALT6	1	B3GALT6	
AP2M1	1	AP2M1	
FKBP8	1	FKBP8	
MICAL2	1	MICAL2	
DNMBP	1	DNMBP	
MEG9	1	MEG9	
ADAM7	1	ADAM7	
CYP1B1	1	CYP1B1	
BICD1	1	BICD1	
CSTF2T	1	CSTF2T	
SPSB2	1	SPSB2	
TCERG1L	1	TCERG1L	
DBP	1	DBP	
CLEC2L	1	CLEC2L	
USP2	1	USP2	
EPDR1	1	EPDR1	
C19orf48P	1	C19orf48	
EFCAB5	1	EFCAB5	
COLGALT2	1	COLGALT2	
PITX1-AS1	1	C5orf66	
ACTR6	1	ACTR6	
HDAC8	1	HDAC8	
COMMD1	1	COMMD1	
WDR74	1	WDR74	
NADSYN1	1	NADSYN1	
H6PD	1	H6PD	
UQCRH	1	UQCRH	
SCLT1	1	SCLT1	
LCA5L	1	LCA5L	
DNAI1	1	DNAI1	
TBC1D1	1	TBC1D1	
TEF	1	TEF	
TSPAN13	1	TSPAN13	
PLCH1	1	PLCH1	
U2AF1L4	1	U2AF1L4	
TRIM32	1	TRIM32	
ZNF468	1	ZNF468	
CORO1A	1	CORO1A	
MAP3K1	1	MAP3K1	
ITGB1-DT	1	ITGB1-DT	
APEH	1	APEH	
MRPL11	1	MRPL11	
IFIT1	1	IFIT1	
FAM43A	1	FAM43A	
CHCHD2	1	CHCHD2	
LPAR2	1	LPAR2	
XYLT1	1	XYLT1	
CCDC88C	1	CCDC88C	
ABHD11	1	ABHD11	
CUL4B	1	CUL4B	
MRPL9	1	MRPL9	
RTL8C	1	RTL8C	
TLE5	1	TLE5	
PANK1	1	PANK1	
PDGFB	1	PDGFB	
ATAD2B	1	ATAD2B	
SNX8	1	SNX8	
CPLX2	1	CPLX2	
SMIM15	1	SMIM15	
JAG1	1	JAG1	
STOML2	1	STOML2	
SLC12A3	1	SLC12A3	
NRGN	1	NRGN	
MID1IP1	1	MID1IP1	
HCFC1	1	HCFC1	
NME5	1	NME5	
UTY	1	UTY	
ZNF157	1	ZNF157	
KSR2	1	KSR2	
TSPYL4	1	TSPYL4	
DEF6	1	DEF6	
SUMO2	1	SUMO2	
ODC1	1	ODC1	
TRMT112	1	TRMT112	
PSMD8	1	PSMD8	
