"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"PROX1","PROX1","MA0794.1","-0.588642",0.722834,0.757558,0.758873,0.0407576,392,"False",1,0.304377660387519,0.609378308995394,NA,NA,NA,0.0758932226580914,0.308574734804103
"Spz1","Spz1","MA0111.1","-0.627063",0.735833,0.865538,0.866532,0.0322084,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"Ascl2","Ascl2","MA0816.1","-0.636247",0.738674,0.835694,0.83739,0.0499939,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"RELB","RELB","MA1117.1","-0.637457",0.739207,0.822757,0.824403,0.0516937,392,"False",1,1.97906665792208e-11,0.00152073903529351,0.918712069480626,0.918588600978628,-0.176717848137531,0.978037986021225,0.7988081401279
"NR2F2","NR2F2","MA1111.1","-0.638934",0.739758,0.820281,0.822183,0.0613852,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"NFATC3","NFATC3","MA0625.1","-0.641936",0.740546,0.860136,0.861871,0.0511238,392,"False",1,1.44504680595155e-37,1.33238260854051e-21,0.859650606223051,0.859116339972087,-0.0429650475969812,0.00113904379156196,0.539293799148799
"MSANTD3","MSANTD3","MA1523.1","-0.643497",0.741249,0.846623,0.848171,0.0496809,392,"False",1,6.67246213958077e-19,4.38229951958007e-10,0.742651113310258,0.743263704911845,0.115531241456522,0.0187111840070337,0.623606586478649
"HLTF","HLTF","MA0109.1","-0.666633",0.748474,0.943423,0.944413,0.0274301,392,"False",1,3.95933765712661e-05,0.047004589015874,NA,NA,NA,0.917574992096175,0.463825397638517
"NFIC","NFIC","MA1527.1","-0.686639",0.754806,0.741549,0.743314,0.0466987,392,"False",1,2.59778951981819e-09,7.24241124629498e-06,0.803797995097042,0.803695157694101,0.192198776392027,4.96412590732713e-06,0.00296539428847568
"Pparg","Pparg::Rxra","MA0065.2","-0.701934",0.759971,0.810227,0.811557,0.0402724,392,"False",1,1.93450847097623e-23,1.30219110937832e-14,0.787533504463605,0.787374581503896,0.184752774588106,1.70252263064877e-06,0.0118963121032116
"Rxra","Pparg::Rxra","MA0065.2","-0.701934",0.759971,0.810227,0.811557,0.0402724,392,"False",1,0.0253397830817513,0.0696143243971587,NA,NA,NA,0.175594717197463,0.771439033779531
"Ar","Ar","MA0007.3","-0.722241",0.766117,0.723575,0.725172,0.044117,392,"False",1,2.14418282144554e-11,5.8832848057643e-11,0.578558240577813,0.577849443031047,0.38852576576674,0.00186562273269653,0.0480994892580543
"Rarg","Rarg","MA0860.1","-0.726268",0.767352,0.693744,0.695376,0.0447587,392,"False",1,0.222390755312854,0.256626522136652,NA,NA,NA,0.16061188899306,0.326576445258863
"Rarb","Rarb","MA0858.1","-0.728209",0.767928,0.699328,0.700934,0.0435772,392,"False",1,1.25264900713864e-25,3.67155559182302e-15,0.901780972680992,0.901828780377279,-0.0129456398305648,5.95942241055154e-07,0.0464123163054813
"HOXC12","HOXC12","MA0906.1","-0.733572",0.769457,0.7731,0.775166,0.0528898,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZNF684","ZNF684","MA1600.1","-0.738057",0.770873,0.725812,0.727197,0.036035,392,"False",1,0.853543679457144,0.364563568320736,NA,NA,NA,0.708880175221028,0.468242856012602
"NFIC","NFIC::TLX1","MA0119.1","-0.765281",0.778954,0.736829,0.738771,0.0459759,392,"False",1,2.59778951981819e-09,7.24241124629498e-06,0.803797995097042,0.803695157694101,0.192198776392027,4.96412590732713e-06,0.00296539428847568
"TLX1","NFIC::TLX1","MA0119.1","-0.765281",0.778954,0.736829,0.738771,0.0459759,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"Hand1","Hand1::Tcf3","MA0092.1","-0.771136",0.780913,0.879177,0.880692,0.0392206,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"Tcf3","Hand1::Tcf3","MA0092.1","-0.771136",0.780913,0.879177,0.880692,0.0392206,392,"False",1,0.177419248886588,0.511849127548809,NA,NA,NA,0.714955881036476,0.36917205273233
"CEBPB","CEBPB","MA0466.2","-0.775252",0.782102,0.809608,0.811598,0.0505748,392,"False",1,1.82329335332488e-21,9.88877026780065e-13,0.905661649687816,0.905620921697072,-0.127398060484462,3.550916843811e-05,0.0261211086925046
"NFATC4","NFATC4","MA1525.1","-0.781156",0.783726,0.859814,0.861923,0.0505124,392,"False",1,NA,NA,NA,NA,NA,NA,NA
