"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"Nkx3-2","Nkx3-2","MA0122.3","-2.27523",0.988678,0.764802,0.775699,0.0559029,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"EN2","EN2","MA0642.1","-2.29384",0.989218,0.855333,0.86434,0.045367,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXE1","FOXE1","MA1487.1","-2.29485",0.989251,0.764018,0.774922,0.0559012,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"NFIL3","NFIL3","MA0025.2","-2.31083",0.989698,0.757801,0.770336,0.0640598,162,"False",1,1.47030830326952e-05,7.65590889120506e-06,0.521123464001335,0.520295140506198,0.450564276393426,0.185994869718618,0.263065240049172
"FOXB1","FOXB1","MA0845.1","-2.36039",0.99097,0.783,0.796028,0.0618618,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"SOX4","SOX4","MA0867.2","-2.37209",0.991259,0.853031,0.863611,0.0518569,162,"False",1,2.22301641884006e-07,9.54777007476543e-07,0.783695774422925,0.783806943032116,-0.0207818871906623,0.881086292624286,0.763387283905947
"GATA6","GATA6","MA1104.2","-2.3876",0.991606,0.766856,0.778888,0.0541643,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"CEBPA","CEBPA","MA0102.4","-2.39263",0.991738,0.751695,0.762792,0.0550632,162,"False",1,1.03189410355897e-24,7.75329182443038e-08,0.737464975947723,0.737571771934882,-0.252229377400156,0.00488497179514342,0.168864167127996
"Bhlha15","Bhlha15","MA0607.1","-2.39778",0.991839,0.847456,0.857561,0.0461286,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MXI1","MXI1","MA1108.2","-2.40119",0.991934,0.852136,0.863902,0.0593342,162,"False",1,3.89781906428173e-05,0.00594828670366022,NA,NA,NA,0.0127942529755195,0.275614707972829
"ZNF24","ZNF24","MA1124.1","-2.41276",0.9922,0.697365,0.709547,0.0651642,162,"False",1,0.226317888653064,0.00889871598298123,NA,NA,NA,0.455376915480886,0.93940634455753
"MAFK","MAFK","MA0496.3","-2.41628",0.992258,0.735789,0.745989,0.050245,162,"False",1,6.70677230355141e-29,1.62976543328296e-18,0.853742299143755,0.853182914377166,-0.107475138030902,0.0047853156545872,0.128754523057137
"HOXD4","HOXD4","MA1507.1","-2.42589",0.992442,0.861291,0.8751,0.0607343,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"TEAD3","TEAD3","MA0808.1","-2.43305",0.992599,0.8598,0.870246,0.0483028,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEIS2","MEIS2","MA0774.1","-2.43339",0.992622,0.850468,0.861224,0.0543441,162,"False",1,2.62831652168386e-05,0.00760286750949585,0.977790214199298,0.977836832207544,-0.140012036232862,0.0257789523533004,0.0797639340000631
"Sox1","Sox1","MA0870.1","-2.44028",0.99274,0.681292,0.692287,0.0488344,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"SOX15","SOX15","MA1152.1","-2.45974",0.993141,0.85493,0.866958,0.0590321,162,"False",1,2.53018177898615e-06,0.000140303230216807,0.578811190330383,0.578141108685494,0.107809172812739,0.0676385559856829,0.203634110962107
"POU2F3","POU2F3","MA0627.2","-2.47455",0.993409,0.754293,0.768735,0.0661743,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXB4","HOXB4","MA1499.1","-2.49524",0.993769,0.84068,0.85515,0.0593836,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MAF","MAF::NFE2","MA0501.1","-2.49579",0.993778,0.735826,0.745182,0.0384869,162,"False",1,0.270044602463472,0.053481880381075,0.783394856403624,0.783646642534325,0.883703167062978,0.00560008708724537,0.196661637285431
"NFE2","MAF::NFE2","MA0501.1","-2.49579",0.993778,0.735826,0.745182,0.0384869,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"Ptf1a","Ptf1a","MA1618.1","-2.52616",0.994309,0.806813,0.817587,0.0496992,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEIS1","MEIS1","MA0498.2","-2.61043",0.995548,0.914391,0.925456,0.0522048,162,"False",1,7.79543986328289e-09,1.29131002331434e-06,0.887214526963913,0.887017288056652,0.201983748617056,0.0110300287859115,0.18538155885978
"TBP","TBP","MA0108.2","-2.61123",0.995549,0.808077,0.819899,0.051517,162,"False",1,0.036002206795498,0.00674214328898109,NA,NA,NA,0.852087170080008,0.441045125638599
"NKX6-3","NKX6-3","MA1530.1","-2.62598",0.99574,0.841854,0.854417,0.0553872,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU3F1","POU3F1","MA0786.1","-2.6356",0.995855,0.761295,0.776844,0.065807,162,"False",1,5.43036681078902e-21,3.84002134668774e-15,0.88381540922631,0.883601213438397,-0.00932589026257592,7.38752971719823e-09,0.000667447107499979
