"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ"
"E2F2","E2F2","MA0864.2","5.26697",6.24913e-08,0.769071,0.755513,0.0422428,295,"False",1.55056538125e-06,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC1","ZIC1","MA0696.1","5.16669",1.09612e-07,0.78889,0.774242,0.0424301,295,"False",2.63733115151515e-06,NA,NA,NA,NA,NA,NA,NA,NA
"ZFP57","ZFP57","MA1583.1","5.07609",1.77935e-07,0.838625,0.822293,0.0478038,295,"False",4.15530558823529e-06,NA,NA,NA,NA,NA,NA,NA,NA
"KLF4","KLF4","MA0039.4","5.07066",1.85266e-07,0.900036,0.879556,0.0554281,295,"False",4.20289154285714e-06,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC3","ZIC3","MA0697.1","4.97266",3.06798e-07,0.799993,0.786209,0.0404366,295,"False",6.76660033333333e-06,NA,NA,NA,NA,NA,NA,NA,NA
"Klf12","Klf12","MA0742.1","4.93323",3.6851e-07,0.824292,0.809666,0.0489894,295,"False",7.90802540540541e-06,0.00935045075252866,0.0517126788555227,NA,NA,NA,0.631603016957751,0.894700653714394,0.631603016957751
"TFAP2A","TFAP2A","MA0810.1","4.88155",4.9524e-07,0.887727,0.873406,0.0396039,295,"False",1.03479094736842e-05,NA,NA,NA,NA,NA,NA,NA,NA
"EGR4","EGR4","MA0733.1","4.83104",6.36298e-07,0.794431,0.780201,0.0415851,295,"False",1.29543746666667e-05,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF740","ZNF740","MA0753.2","4.60387",1.95827e-06,0.82108,0.803708,0.0522936,295,"False",3.88716595e-05,0.0968876275054715,0.730481077452253,NA,NA,NA,0.548268878590269,0.542212727547952,0.548268878590269
"ZIC4","ZIC4","MA0751.1","4.56094",2.38446e-06,0.818286,0.806296,0.0393737,295,"False",4.61771034146341e-05,NA,NA,NA,NA,NA,NA,NA,NA
"EGR2","EGR2","MA0472.2","4.52349",2.86653e-06,0.82264,0.808129,0.0459962,295,"False",5.41910671428571e-05,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2E","TFAP2E","MA1569.1","4.44708",4.13324e-06,0.892765,0.876258,0.0505289,295,"False",7.63207572093023e-05,0.957860088784154,0.843546397076076,NA,NA,NA,0.383299289705684,0.249405103683996,0.383299289705684
"TFAP2C","TFAP2C","MA0524.2","4.43809",4.29217e-06,0.866124,0.853662,0.0397794,295,"False",7.74541586363636e-05,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0811.1","4.42947",4.47155e-06,0.870058,0.857551,0.0397325,295,"False",7.88980155555556e-05,NA,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","4.24588",1.02375e-05,0.828096,0.817285,0.0395356,295,"False",0.000176708152173913,0.0242344839257439,0.07399055695837,0.743146246056045,0.745067477059806,0.393481609330756,0.253536387034573,0.409823938626197,0.253536387034573
"MAZ","MAZ","MA1522.1","4.23961",1.06978e-05,0.896786,0.877914,0.0595187,295,"False",0.000179839345833333,0.0980598580763489,0.378813150782559,NA,NA,NA,0.468938457619758,0.4359137964672,0.468938457619758
"ZNF460","ZNF460","MA1596.1","4.23353",1.08719e-05,0.795719,0.777914,0.0627049,295,"True",0.000179839345833333,0.154296583740618,0.0170821400572209,0.285385838258403,0.285933651772624,1.04771434825597,0.974452230221434,0.545485029429376,0.974452230221434
"HES2","HES2","MA0616.2","4.12607",1.73308e-05,0.822813,0.807232,0.0607967,295,"False",0.000280829697959184,NA,NA,NA,NA,NA,NA,NA,NA
"KLF9","KLF9","MA1107.2","3.9676",3.45867e-05,0.808303,0.794726,0.0502533,295,"False",0.000549236796,0.0253061073771051,0.358562756734065,NA,NA,NA,0.350657424031714,0.422347409921093,0.350657424031714
"E2F4","E2F4","MA0470.2","3.95713",3.56341e-05,0.757712,0.747338,0.0438276,295,"False",0.00055477402745098,0.0117361814400315,0.0144022076630948,0.421846293035785,0.423099506217322,0.313543270381471,0.362763337930231,0.474596970455689,0.362763337930231
"ELK1","ELK1","MA0028.2","3.88747",4.69924e-05,0.819021,0.805366,0.0654108,295,"False",0.0007175378,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861,0.879801610123535
"Zfx","Zfx","MA0146.2","3.88881",4.82741e-05,0.869989,0.855406,0.0526244,295,"False",0.000723200667924528,0.556800751944705,0.168063249296086,NA,NA,NA,0.0522166574196875,0.257445501097556,0.0522166574196875
"Wt1","Wt1","MA1627.1","3.86989",5.19688e-05,0.84284,0.828844,0.0533313,295,"False",0.000764133837037037,NA,NA,NA,NA,NA,NA,NA,NA
"CTCF","CTCF","MA0139.1","3.85264",5.51077e-05,0.789232,0.779428,0.0422494,295,"False",0.000795554796363636,4.84807928799479e-10,0.000677365593218238,0.980178453189282,0.97919213546869,0.035084249109359,0.224347289636522,0.0880201141891233,0.224347289636522
"KLF13","KLF13","MA0657.1","3.75906",8.04165e-05,0.748919,0.739248,0.0437942,295,"False",0.00114019108928571,0.480951922188092,0.402985200935648,NA,NA,NA,0.803034632545519,0.850080875160929,0.803034632545519
"CENPB","CENPB","MA0637.1","3.74271",8.55229e-05,0.790817,0.78272,0.038115,295,"False",0.00118875795932203,3.27157912855731e-09,0.000564328840066553,0.883148430496944,0.883273393265773,-0.137749813406483,0.00307062785573352,0.190008692966558,0.00307062785573352
"ZNF263","ZNF263","MA0528.2","3.73996",8.75257e-05,0.87045,0.856546,0.0587841,295,"False",0.00118875795932203,0.119039055427212,0.30278161607353,NA,NA,NA,0.653602788471038,0.612004028071349,0.653602788471038
"ZNF682","ZNF682","MA1599.1","3.73761",8.83334e-05,0.778416,0.766683,0.0497489,295,"False",0.00118875795932203,0.555883102535779,0.759378967239156,NA,NA,NA,0.7832203763163,0.57005578236662,0.7832203763163
"TFAP2C","TFAP2C","MA0815.1","3.72305",9.46728e-05,0.822629,0.809526,0.0491631,295,"False",0.00125283672,NA,NA,NA,NA,NA,NA,NA,NA
"Klf1","Klf1","MA0493.1","3.71038",9.96336e-05,0.876694,0.865753,0.0408155,295,"False",0.00129687013770492,NA,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","3.69121",0.000105253,0.864776,0.852902,0.0556284,295,"False",0.0013479174516129,0.379764053330191,0.180806311354717,NA,NA,NA,0.648036873391849,0.597582024855895,0.648036873391849
"TFAP2C","TFAP2C","MA0814.2","3.50372",0.00022156,0.837319,0.825276,0.0481682,295,"False",0.00279235936507937,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0813.1","3.47403",0.00024738,0.827814,0.816155,0.0479662,295,"False",0.003069058125,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB7B","ZBTB7B","MA0694.1","3.4534",0.000264261,0.805843,0.796231,0.0456043,295,"False",0.00319368454545455,NA,NA,NA,NA,NA,NA,NA,NA
"GLIS2","GLIS2","MA0736.1","3.45422",0.00026547,0.797432,0.7882,0.0400202,295,"False",0.00319368454545455,0.0818894312497024,0.617361657347814,0.987229232062437,NA,-0.19636386581106,0.758648691210538,0.552538839505653,0.758648691210538
"PLAGL2","PLAGL2","MA1548.1","3.40733",0.000317702,0.860182,0.846444,0.0555513,295,"False",0.00376500579104478,NA,NA,NA,NA,NA,NA,0.463531546009391,NA
"ARNT","ARNT::HIF1A","MA0259.1","3.38102",0.000346179,0.902487,0.890666,0.055764,295,"False",0.00398356704347826,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009,0.652439793633765
"HIF1A","ARNT::HIF1A","MA0259.1","3.38102",0.000346179,0.902487,0.890666,0.055764,295,"False",0.00398356704347826,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805,0.484306763894514
"TFAP2A","TFAP2A","MA0872.1","3.2312",0.000598803,0.815948,0.804318,0.0495885,295,"False",0.00679213688571429,NA,NA,NA,NA,NA,NA,NA,NA
"PAX5","PAX5","MA0014.3","3.1844",0.000696618,0.82238,0.813171,0.0476927,295,"False",0.00779034777464789,NA,NA,NA,NA,NA,NA,NA,NA
"GLIS1","GLIS1","MA0735.1","3.1767",0.000718726,0.709846,0.701599,0.0403494,295,"False",0.00792595061111111,4.39140704024171e-11,0.0065917324773616,0.753734695321017,0.755329782792218,-0.290234292067122,0.872841695034211,0.649807073238282,0.872841695034211
"HEY1","HEY1","MA0823.1","3.16844",0.000736475,0.817266,0.805772,0.0596443,295,"False",0.00801042671232877,NA,NA,NA,NA,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","3.14082",0.000800183,0.837637,0.827514,0.0607538,295,"False",0.00858574732432432,NA,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","3.11445",0.000881455,0.863095,0.853063,0.0568759,295,"False",0.00933167026666667,1.55710763469331e-65,3.92862471590314e-30,0.566279651364164,0.567394843946028,-0.0991789326619443,0.522678906783712,0.403126347872561,0.522678906783712
"NHLH2","NHLH2","MA1529.1","3.0659",0.00105311,0.744957,0.736319,0.0414651,295,"False",0.0110022281578947,NA,NA,NA,NA,NA,NA,NA,NA
"ERF","ERF","MA0760.1","3.04413",0.00111473,0.840217,0.83128,0.0536851,295,"False",0.0114947483116883,0.0300425814501729,0.166927784293228,0.605677040606972,0.606958728307776,0.614180698836712,0.163773530339404,0.119192288847875,0.163773530339404
