"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"KLF16","KLF16","MA0741.1","5.03244",2.12536e-07,0.885439,0.870747,0.0559559,528,"False",1.89610768539326e-06,0.669556299344003,0.106800470575565,NA,NA,NA,0.457423030253991,0.928963320862248,0.457423030253991,NA,NA,NA,NA
"MLXIPL","MLXIPL","MA0664.1","4.97072",2.67148e-07,0.807666,0.795318,0.0626712,528,"False",2.35683902222222e-06,8.52669430946701e-06,0.391019237794169,0.423612183895433,0.424889074919165,-1.0165372475596,0.407724549068799,0.848003937486497,0.407724549068799,NA,NA,NA,NA
"EHF","EHF","MA0598.3","4.97333",2.72939e-07,0.814374,0.803084,0.0526126,528,"False",2.38146775824176e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBED1","ZBED1","MA0749.1","4.95745",2.89181e-07,0.710256,0.700738,0.0473712,528,"False",2.49575776086956e-06,0.239401141128395,0.0933487363721544,0.270211112837619,0.2703561607753,0.655501603491035,0.513704163324767,0.425912131217035,0.513704163324767,NA,NA,NA,NA
"SREBF2","SREBF2","MA0828.1","4.9443",3.05132e-07,0.792964,0.780952,0.062006,528,"False",2.60510546236559e-06,0.0400072292907096,0.857774172906381,NA,NA,NA,0.669729197103397,0.484769765369795,0.669729197103397,0.594932408980798,0.638697886232213,NA,0.63385050585134
"TFE3","TFE3","MA0831.2","4.92714",3.3872e-07,0.864586,0.852278,0.061617,528,"False",2.8611029787234e-06,0.00448441506441203,0.233903059540924,NA,NA,NA,0.260251566412858,0.261297092948775,0.260251566412858,0.533985977415169,0.758774356187414,NA,0.976786526694263
"TFAP2B","TFAP2B","MA0812.1","4.89565",4.29483e-07,0.865162,0.853532,0.0469744,528,"False",3.58957370526316e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MNT","MNT","MA0825.1","4.8498",5.10516e-07,0.847409,0.83503,0.0612144,528,"False",4.22239275e-06,0.111237042478379,0.0321321526844429,0.679008224708813,0.679372112688405,0.695300161812896,0.115317917569863,0.155605586567154,0.115317917569863,NA,NA,NA,NA
"TFAP2C","TFAP2C","MA0814.2","4.84441",5.61282e-07,0.837752,0.825276,0.0498036,528,"False",4.59441142268041e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC4","ZIC4","MA0751.1","4.82486",6.07649e-07,0.815804,0.806296,0.0410577,528,"False",4.923197e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC3","ZIC3","MA0697.1","4.80636",6.66227e-07,0.796198,0.786209,0.0435539,528,"False",5.34327513131313e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYC","MYC","MA0147.3","4.75546",8.4472e-07,0.819872,0.807524,0.0579108,528,"False",6.7070768e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUNB","JUNB","MA1140.2","4.73109",8.92235e-07,0.731374,0.719098,0.0689664,528,"False",7.01420386138614e-06,0.675190526055226,0.351601298971008,NA,NA,NA,0.938704374647668,0.961898088388136,0.938704374647668,NA,NA,NA,NA
"ELF1","ELF1","MA0473.3","4.6652",1.30846e-06,0.817857,0.80716,0.0529235,528,"False",1.01854631372549e-05,0.614585429976922,0.949404139237116,NA,NA,NA,0.658742593458731,0.781952476166463,0.658742593458731,NA,NA,NA,NA
"MAX","MAX","MA0058.3","4.63138",1.52752e-06,0.835885,0.823549,0.0635812,528,"False",1.17752512621359e-05,3.3880737270915e-07,0.0516050647101421,0.415007841632972,0.416317096203809,-0.737430374128988,0.684850696471875,0.748818357339388,0.684850696471875,0.660937547589121,0.475304663521133,NA,0.419322524637367
"TFAP2A","TFAP2A","MA0810.1","4.59113",1.99924e-06,0.883493,0.873406,0.0398268,528,"False",1.52634284615385e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREB3","CREB3","MA0638.1","4.50218",2.88841e-06,0.76934,0.760337,0.0460098,528,"False",2.18418813333333e-05,5.45979393466241e-06,0.000337225825875713,0.997721109956083,0.997485546894885,-0.0104583215646815,0.0136105509309793,0.201241788735542,0.0136105509309793,NA,NA,NA,NA
