GENE_SYMBOLS,refseq_ids
ERH,NM_004450
CFL2,NM_001243645
LMF1,NM_001352017
GPX4,NM_001039847
ACP6,NM_001323625
C1orf115,NM_024709
DKK3,NM_001018057
HEIH,NR_045680
THAP5,NM_001130475
ATG9A,NM_001077198
CHRNB2,NM_000748
STMN4,NM_001283053
RAB11A,NM_001206836
PRDX5,NM_001358511
DNAJA2,NM_005880
UBE2M,NM_003969
INTS5,NM_030628
MCRIP1,NM_001093767
RPL18A,NM_000980
ZNF69,NM_001321163
COX4I1,NM_001318786
FAM161B,NM_152445
RNF5,NM_006913
MAP1LC3B,NM_022818
SNX21,NM_001042632
ATP5F1B,NM_001686
POLE4,NM_019896
TCP1,NM_001008897
MRPS7,NM_015971
ADCK2,NM_052853
EXOC8,NM_175876
C17orf58,NM_001382359
HTR5A,NM_024012
SERF2,NM_001018108
UQCRFS1,NM_006003
GPR137,NM_001170726
POLR3H,NM_001018050
STK16,NM_001008910
NUDT15,NM_001304745
SLC35F3,NM_001300845
EEF2,NM_001961
NDUFAF4,NM_014165
POP7,NM_005837
RPS14,NM_001025070
RPL29,NM_000992
NACAD,NM_001146334
DDN,NM_015086
GRPEL2,NM_152407
MDH2,NM_001282403
STBD1,NM_003943
SLC9A6,NM_001042537
KCNF1,NM_002236
ATP5MPL,NA
PEF1,NM_001359651
CTDNEP1,NM_001143775
ARFIP2,NM_001242854
ARF1,NM_001024226
CACYBP,NM_001007214
CCDC184,NM_001013635
RBM15B,NM_013286
PDHB,NM_000925
COPS9,NM_001163424
AHCY,NM_000687
LRATD1,NM_001291410
ORMDL3,NM_001320801
HIGD1A,NM_001099668
ATP1B1,NM_001001787
SPOCK3,NM_001040159
MAGEE1,NM_020932
MAPK3,NM_001040056
PLPP6,NM_203453
RPLP2,NM_001004
SYNC,NM_001161708
WBP11,NM_016312
NAP1L2,NM_021963
SF3B5,NM_031287
ADPRHL2,NA
TMSB4X,NM_021109
MRPL10,NM_145255
PRNP,NM_000311
NHS,NM_001136024
ZMAT2,NM_144723
EGLN2,NM_017555
UBXN1,NM_001286077
MAFK,NM_002360
RPRML,NM_203400
DEDD2,NM_001270614
STPG2,NM_174952
LSM4,NM_001252129
TSR3,NM_001001410
TAF9B,NM_015975
CCDC39,NM_181426
BEX1,NM_018476
RHOV,NM_133639
PCDH8,NM_002590
SRP68,NM_001260502
LYPLAL1-DT,NR_038845
FAM174C,NM_017914
EPN1,NM_001130071
FBXL16,NM_153350
CALR,NM_004343
MEPCE,NM_001194990
GRPEL1,NM_025196
EIF5A2,NM_020390
SNX17,NM_001267059
ANKRD40,NM_052855
NCBP2,NM_001042540
SOWAHB,NM_001029870
KATNAL2,NM_001353899
DUSP26,NM_001305115
CENPJ,NM_018451
RPL14,NM_001034996
NHP2,NM_001034833
ZNF436,NM_001077195
ADGRB2,NM_001294335
SLITRK2,NM_001144003
RPL13,NM_000977
LRRTM1,NM_178839
SNHG15,NR_003697
MUL1,NM_024544
ATP6V0C,NM_001198569
TBCE,NM_001079515
FIS1,NM_016068
UQCRH,NM_001297565
BRF2,NM_018310
CKB,NM_001362531
KEAP1,NM_012289
RLIM,NM_016120
ATMIN,NM_001300728
MORF4L1,NM_001265603
DHRSX,NM_145177
ALYREF,NM_005782
KLC2,NM_001134774
TMEM251,NA
PPIF,NM_005729
SCGB2B2,NM_001025591
BAG1,NM_001172415
ZNF487,NM_001355444
NUBP2,NM_001284501
NR4A1,NM_001202233
AMD1,NM_001033059
TENM4,NM_001098816
PYURF,NM_032906
SLC35A4,NM_001394034
RPS4X,NM_001007
RPL19,NM_000981
DNAJA1,NM_001314039
CEND1,NM_016564
TUFM,NM_001365360
MRPS2,NM_001371401
KIAA1143,NM_001320334
CALM1,NM_001166106
TRAPPC2L,NM_001318524
RTL10,NM_024627
OTOGL,NM_001368062
TMEM70,NM_001040613
CDHR3,NM_001301161
PAQR4,NM_001284511
MID2,NM_001382751
LSM10,NM_032881
FSCN1,NM_003088
RPLP1,NM_001003
FAU,NM_001997
MRPL57,NM_024026
ARL8A,NM_001256129
KIAA1211,NA
TMEM158,NM_015444
EIF3I,NM_001394168
CIPC,NM_033426
SMDT1,NM_033318
SYNGR3,NM_004209
LYNX1,NM_001356370
SMIM15,NM_001048249
SUGCT,NM_001193311
EEF1B2,NM_001037663
TUBA4A,NM_001278552
CTSD,NM_001909
MIEF2,NM_001144900
SSTR1,NM_001049
RNF187,NM_001010858
RPL39,NM_001000
JHY,NM_001363087
CYB5D1,NM_001330110
ERLEC1,NM_001127397
RPL13A,NM_001270491
YWHAB,NM_003404
IMPDH2,NM_000884
QRICH2,NM_001388453
TMEM59L,NM_012109
GABARAP,NM_007278
MPDU1,NM_001330073
GPR88,NM_022049
THAP7,NM_001008695
TMED7,NM_181836
VXN,NM_152765
RPS15,NM_001018
GABARAPL2,NM_007285
SSTR3,NM_001051
RANBP1,NM_001278639
ARL4A,NM_001037164
NEUROD6,NM_022728
CDKN1B,NM_004064
HINT1,NM_005340
CCDC127,NM_145265
GTF2F1,NM_002096
BEX2,NM_001168399
SOWAHA,NM_175873
FKBP1A,NM_000801
PURB,NM_033224
DMTN,NM_001114135
SLC8A3,NM_001130417
FAM217B,NM_001190826
OCEL1,NM_024578
CAMK2N2,NM_033259
RCOR2,NM_001363648
CHCHD4,NM_001098502
PELI2,NM_021255
UFC1,NM_016406
ARHGDIG,NM_001176
PRPF19,NM_014502
MRPL40,NM_001318151
RCN1,NM_002901
MICOS10,NM_001032363
GMPR2,NM_001002000
BAD,NM_004322
ROS1,NM_001378891
PSMC5,NM_001199163
RSL1D1,NM_015659
SAP30L,NM_001131062
EFNB3,NM_001406
PHLDA2,NM_003311
ASTN2,NM_001184734
COPZ1,NM_001271734
EMC6,NM_001014764
GRIP1,NM_001178074
DCTN3,NM_001281425
HPCAL4,NM_001282396
CHRM1,NM_000738
HSPA13,NM_006948
RIT2,NM_001272077
CEP152,NM_001194998
PMEPA1,NM_001255976
SRSF8,NM_032102
TMEM106C,NM_001143841
TEF,NM_001145398
RPL8,NM_000973
COX7C,NM_001867
COL19A1,NM_001858
NDUFB10,NM_004548
NBL1,NM_001204084
SBDS,NM_016038
PRDM8,NM_001099403
TMEM109,NM_024092
RAP2B,NM_002886
RPS25,NM_001028
KCNV1,NM_014379
LDOC1,NM_012317
RASL10A,NM_001007279
HPS6,NM_024747
FEM1B,NM_015322
PHLDA3,NM_012396
VPS4A,NM_013245
NR2F6,NM_005234
RNF220,NM_001319956
CAPNS1,NM_001003962
TMEM198,NM_001005209
TMEM47,NM_031442
C14orf132,NM_001252507
OAT,NM_000274
RRS1,NM_015169
ANKRD34A,NM_001039888
IGSF10,NM_001178145
PNRC1,NM_006813
RPL18,NM_000979
GPANK1,NM_001199237
EGR2,NM_000399
MOCS3,NM_014484
ANKRD18B,NM_001013728
TMEM60,NM_032936
NUDT11,NM_018159
SCN3B,NM_001040151
TUSC1,NM_001004125
CIAO2B,NM_016062
USP11,NM_001371072
EIF1AX,NM_001412
VGF,NM_003378
SRP14,NM_001309434
CTXN3,NM_001048252
LSM14B,NM_014054
OST4,NM_001134693
LRRC73,NM_001012974
RPS19,NM_001022
SELENOK,NM_021237
PHACTR2,NM_001100164
PSRC1,NM_001005290
IRAK1,NM_001025242
GSPT2,NM_018094
CSTF2T,NM_015235
RPS9,NM_001013
TRMT61A,NM_152307
NUDT18,NM_024815
CHMP1A,NM_001083314
POMP,NM_015932
RABAC1,NM_006423
EI24,NM_001007277
PEX12,NM_000286
NOP53,NM_015710
AFF2,NM_001169122
SCN1B,NM_001037
RPL10,NM_001256577
C19orf53,NM_014047
LRRC59,NM_018509
NAA38,NM_001320924
KCNQ3,NM_001204824
B3GALT6,NM_080605
SMIM27,NM_001349118
RPL23,NM_000978
PHYHIP,NM_001099335
SAP18,NM_001366643
CYP26B1,NM_001277742
NDUFA6,NM_002490
CREB3,NM_006368
ZDHHC22,NM_001364172
C8orf82,NM_001001795
KLF16,NM_031918
GMFB,NM_004124
PPP1R1A,NM_006741
PPEF1,NM_001377986
THRA,NM_001190918
HSPA5,NM_005347
GPR162,NM_014449
RPL10A,NM_007104
DOLPP1,NM_001135917
MYL12B,NM_001144944
CNPPD1,NM_001321389
LYRM9,NM_001076680
PARTICL,NR_038942
SUN2,NM_001199579
SPACA9,NM_001316897
RANBP17,NM_022897
RPS18,NM_022551
WDR83OS,NM_016145
DNAL4,NM_005740
PDZRN4,NM_001164595
KBTBD6,NM_152903
NRG1,NM_001159995
MRPS24,NM_032014
ADAMTS8,NM_007037
MEIKIN,NM_001278059
GAS1RR,NR_049794
RAB37,NM_001006637
RPL34,NM_000995
PES1,NM_001243225
CD83,NM_001040280
TOMM6,NM_001134493
MRPL51,NM_016497
RPL4,NM_000968
DDT,NM_001084392
VWC2L,NM_001080500
POLR2I,NM_006233
PPP2CA,NM_001355019
RPL27A,NM_000990
FLRT1,NM_001384466
KCTD12,NM_138444
GTPBP2,NM_001286216
ZNF675,NM_138330
CD63,NM_001040034
ZFAND2A,NM_001365381
NME1,NM_000269
SLC25A22,NM_001191060
PHAX,NM_032177
YRDC,NM_024640
GPR22,NM_005295
SUMO2,NM_001005849
MCHR1,NM_005297
DNPH1,NM_006443
ZNF440,NM_152357
NINL,NM_001318226
CCN3,NM_002514
GNG3,NM_012202
TSR2,NM_001346789
PRRT1,NM_001363780
TUBB2A,NM_001069
SPATA2,NM_001135773
C14orf119,NM_017924
POU3F1,NM_002699
MEA1,NM_001318942
ARL4D,NM_001661
DGCR6L,NM_033257
SMIM26,NM_001348957
ANKRD65,NM_001145210
RPL32,NM_000994
ATXN7L3B,NM_001136262
TKFC,NM_001351976
MRPL24,NM_024540
PRELID1,NM_001271828
RPL9,NM_000661
MIEN1,NM_001330206
CHCHD10,NM_001301339
COA7,NM_023077
MZT2B,NM_001330282
CACNB3,NM_000725
COMMD8,NM_001329668
TPT1,NM_001286272
FURIN,NM_001289823
RPS23,NM_001025
MRPL17,NM_022061
AMIGO1,NM_020703
UBA52,NM_001033930
DNAJB5,NM_001135004
ESRRG,NM_001134285
VSTM2A,NM_001301009
TRIAP1,NM_016399
NEDD9,NM_001142393
HCG11,NR_026790
MRPS34,NM_001300900
HIGD2A,NM_138820
RPL35A,NM_000996
AASDHPPT,NM_015423
SSU72,NM_014188
EIF1AD,NM_001242481
IFI27L2,NM_032036
SLC30A1,NM_021194
TNFAIP8L1,NM_001167942
FAM171A2,NM_198475
LAPTM4A,NM_014713
KLHL29,NM_025067
MMGT1,NM_001330000
CFL1,NM_005507
MAD2L1BP,NM_001003690
ZNF747,NM_001305018
KCNQ1OT1,NR_002728
RPS7,NM_001011
PHB,NA
SMPD1,NM_000543
VMA21,NM_001017980
RPL22,NM_000983
ZBTB22,NM_001145338
PFDN5,NM_002624
PPARG,NM_001330615
RPL36A,NM_001199972
CBX4,NM_003655
POLD2,NM_001127218
TMEM167B,NM_001322248
FAIM2,NM_012306
STMN1,NM_001145454
RRAGC,NM_001271851
CDH7,NM_001317214
NDUFA13,NM_015965
CHCHD5,NM_001304353
SPRN,NM_001012508
DPH6-DT,NR_038251
ATP5MD,NA
OXGR1,NM_001346194
CBARP,NM_001393918
MAS1,NM_001366704
NPIPB5,NM_001135865
LGALSL,NM_014181
RPL17,NM_000985
SPOCK2,NM_001134434
CNIH2,NM_182553
CCK,NM_000729
TMEM132A,NM_017870
SNHG8,NR_003584
EMD,NM_000117
PSMB10,NM_002801
TSPYL1,NM_003309
AMIGO2,NM_001143668
MCM3,NM_001270472
KRTAP5-11,NM_001005405
JUN,NM_002228
PWWP2B,NM_001098637
TGFBR3L,NM_001195259
IRF2BPL,NM_024496
DOHH,NM_001145165
COX7B,NM_001866
OLFM1,NM_001282611
GAPDH,NM_001256799
SNCG,NM_001330120
TIMM8B,NM_012459
SMIM13,NM_001135575
RPL23A,NM_000984
PCSK1N,NM_013271
C6orf226,NM_001008739
EXOSC5,NM_020158
EFNA3,NM_004952
RPL12,NM_000976
PRKCD,NM_001316327
CCDC65,NM_001286957
TMTC2,NM_001320321
RNF26,NM_032015
RPL28,NM_000991
MITF,NM_000248
DNAJC14,NM_001394687
EID1,NM_014335
TMEM185B,NM_024121
CHPF,NM_001195731
HSPA8,NM_006597
GADD45B,NM_015675
AMPD2,NM_001257361
PTPRM,NM_001105244
RPL7,NM_000971
RTN4R,NM_023004
LSM3,NM_014463
PRR7,NM_001174101
SALL2,NM_001291446
BYSL,NM_004053
BNIP3,NM_004052
LKAAEAR1,NM_001007125
S100A6,NM_014624
TAF6,NM_001190415
ANKRD55,NM_001039935
QPCT,NM_012413
MRPL36,NM_032479
UQCR10,NM_001003684
FANCF,NM_022725
TSTD1,NM_001113205
PNPO,NM_018129
SNAPC2,NM_003083
TMEM151A,NM_153266
TMIE,NM_001370524
MPV17L2,NM_032683
FAP,NM_001291807
CCT7,NM_001009570
DYNLL1,NM_001037494
RPL5,NM_000969
PCBP1,NM_006196
TMEM115,NM_007024
C11orf68,NM_001135635
EPN3,NM_017957
NDUFA4,NM_002489
PEBP1,NM_002567
ATP5MC3,NM_001002256
OTUD1,NM_001145373
SRRD,NM_001013694
PCCA-DT,NR_132422
CENPB,NM_001810
LAGE3,NM_006014
ARL4C,NM_001282431
NEUROD1,NM_002500
SLC22A6,NM_004790
TSEN34,NM_001077446
KLHL26,NM_001345981
RPS5,NM_001009
KCNV2,NM_133497
HSP90B1,NM_003299
TOE1,NM_025077
TCEAL2,NM_080390
RPL11,NM_000975
JUND,NM_001286968
NFKBIE,NM_004556
HCCS,NM_001122608
TFPT,NM_001321792
RPL22L1,NM_001099645
BAX,NM_001291428
JAGN1,NM_001363890
RPS16,NM_001020
UBE2Q1,NM_017582
SOD1,NM_000454
ZNF488,NM_001346932
RTL5,NM_001024455
HPYR1,NR_026684
YIPF3,NM_015388
ADTRP,NM_001143948
ATP6V0B,NM_001039457
