"Gene_Symbols","p_cogdx","p_ceradsc","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","amplitude_cerad3to5","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad"
"RPS29","0.186614695865697","0.327217378016101","2.96528352521334","3.44192822124133","2.93967113724115","3.22033476094171","18.2596928237355","45.1983924659041","17.8415225188365","29.9160129443753",0.53909332933632,1,0.998657205197301,1
"RPL36AL","0.336858006462773","0.669077419513539","2.91029898709838","2.66863066916665","2.90027429385873","3.11817999549456","13.1144631822288","5.19980024204454","12.0190055109572","15.8506557768366",0.665470009642343,1,0.998657205197301,1
"MGAT2","0.34386222313639","0.669843754800793","3.16947877297193","2.2418550899445","3.11834465546369","3.27795813436003","2.03111943899212","0.659273104172062","1.97746711949268","1.50866196587104",0.67009787909171,1,0.998657205197301,1
"POLE2","0.106424679769639","0.859089849226108","2.95866331445785","3.69893082863202","3.15814483928575","3.35610027502901","3.44797481829878","15.6087574224458","3.68333700207964","5.21796189094396",0.430809829633128,1,0.998657205197301,1
"ARF6","0.950492194617942","0.319665380135269","3.0687599900692","2.95421687770119","3.01570595088666","3.27606344565576","4.90474641174946","4.64172010113132","4.85763348113259","5.34507726175841",0.980998895490609,1,0.998657205197301,1
"FRMD6","0.0751071788469405","0.483549168314104","1.39784291862814","0.967114992762307","1.36164920022039","1.3932781121575","21.8101031918015","43.2402757172871","20.8650263237985","26.0379759802537",0.382346415049598,1,0.998657205197301,1
"CNIH1","0.137135990744669","0.428833968269074","3.39630412615535","3.22544605243117","3.42372496108702","3.3066681507635","12.9087957099346","3.86635489477923","12.9740203175692","9.12780822289316",0.47524574492365,1,0.998657205197301,1
"GMFB","0.0157268268752953","0.871736575924566","3.17215335414923","1.1952265560458","3.14281647353222","3.03355114167716","22.9351983396157","21.0948597860209","21.7377911138765","18.8642723900198",0.204287172390394,1,0.998657205197301,1
"SAMD4A","0.273174992729389","0.998840636710981","0.475613238909474","5.03508447225275","0.468153039818082","0.468813534793212","11.9173688858197","3.8354045266171","11.5943170932687","11.3802358402128",0.617087476615263,1,0.999584848866442,1
"PELI2","0.240324527550727","0.690727254819463","5.64632941282135","4.61265940785467","5.66029082078286","5.38617253186573","15.799584547956","16.9189919356469","15.5165546239143","12.579194698967",0.589511728774233,1,0.998657205197301,1
"GPR135","0.215378845916892","0.549888073138064","5.87041657339738","4.69708110669963","5.77275322196826","6.09036138702518","18.0639273706309","19.7938556853146","17.4795021792506","20.0629878266346",0.566920168329473,1,0.998657205197301,1
"CCDC175","0.470405599418236","0.86045957582545","6.02328909157927","5.1225557820243","5.95545937324894","6.06059698971674","11.0673305135153","7.93731066790928","10.8266624622521","9.79115025425163",0.752387475951534,1,0.998657205197301,1
"SIX4","0.247855383319581","0.876341526185161","4.72703333138738","0.023307184169747","4.74505146601462","5.03977091796009","1.61191222766147","2.73986471690423","1.68809485401706","1.41893880286667",0.59565974055333,1,0.998657205197301,1
"SLC38A6","0.0289266526556828","0.448375004030087","5.94925467446967","4.4986537397174","5.90088057268172","5.94423644905485","39.5947639787691","33.0336450544488","38.4355113642697","27.2190010949745",0.253320342811648,1,0.998657205197301,1
"PRKCH","0.0414357762679769","0.984819632423588","5.17718555460638","3.985484432418","4.86580879597491","4.98210114917865","3.83334842836868","23.9382238608322","4.35308912090098","4.76519998971662",0.305783682575878,1,0.999185876850267,1
"AKAP5","0.682648788386251","0.686180024539948","3.0159770296394","2.74583334718479","2.9529688107886","3.11805813786793","16.1450758552581","11.3907118423453","15.7143480965048","15.1955914664862",0.862165524438474,1,0.998657205197301,1
"PPP1R36","0.0468619412848102","0.968865719454293","6.19383422590301","3.87425129706936","6.20450058103828","6.11507086920192","1.02388319516194","1.02683452696006","0.906655373884904","0.940677393349506",0.323176987805973,1,0.998657205197301,1
"PLEKHG3","0.825614021206334","0.608822869665499","3.00001737406906","3.06629469486968","2.95865413036177","3.13774046556164","2.36416822442083","3.21090665169046","2.28672631176233","3.37005838471054",0.924633200246146,1,0.998657205197301,1
"CCDC196","0.0732050177490506","0.431717951488598","2.25824435869309","3.43075538222594","2.27900720916221","2.90406901588628","1.89330957934703","5.048628618143","1.91892520728563","2.17716580015516",0.378292414607832,1,0.998657205197301,1
"ATP6V1D","0.71254225378146","0.174225652495297","2.95574154952842","2.87672543039588","2.88340483544812","3.15601656062757","24.179175802483","19.4494628973006","23.945443431847","22.4043182798584",0.877206351377176,1,0.998657205197301,1
"PIGH","0.967848763842368","0.247128828638253","3.23736772456554","3.32521258809319","3.26947299943993","2.97517417258255","3.11933540702888","3.63824247127875","3.38089974953901","1.38160932867",0.988435746164271,1,0.998657205197301,1
"RDH12","0.44210087578108","0.720053443837518","2.9876390948175","3.52914940421893","3.01430171849239","3.15164351665047","0.624249583193277","1.31183333615174","0.662482160681289","0.443049160006527",0.738392171659021,1,0.998657205197301,1
"ZFP36L1","0.53884673899069","0.270546954552394","0.0980008284756389","0.460329728597813","0.141425767222014","5.96962715222348","1.62477897868833","3.4367883019","1.83963303523533","0.31628844319151",0.785559891436782,1,0.998657205197301,1
"ERH","0.0293373742510322","0.83412607867095","2.98058496001298","1.45432780911615","2.9452776933969","3.07307448230151","11.9735902989088","6.54001921052611","11.289439964827","11.1581351290372",0.255221698472856,1,0.998657205197301,1
"PLEKHD1","0.345198670396602","0.726534376554446","6.09145926858973","4.67225065443136","6.08570649568446","6.01798450628184","3.68200579643938","3.13228790769174","3.38973462237519","4.40035652307824",0.671111510412256,1,0.998657205197301,1
"SLC10A1","0.24660984236068","0.796904766457551","2.73498207648483","3.60404462355643","2.8087266918491","2.8299572356359","2.30162698906393","4.87076290792948","2.36453352719585","1.61510600310685",0.594622992290374,1,0.998657205197301,1
"SLC8A3","0.521433912399091","0.730686728299303","0.532815087106351","0.636096494687282","0.549960501555453","0.563998923615701","25.5439394529229","12.542807625781","25.9592725349531","20.3274583908104",0.778660956586517,1,0.998657205197301,1
"ADAM21","0.116217231167513","0.339505026472097","2.74788991185536","3.46897475179472","2.71915441427965","3.29032133328832","0.820340784929825","2.60610114637744","0.853055106237122","1.2755019146696",0.446169213854088,1,0.998657205197301,1
"TTC9","0.500751853593901","0.814384436275318","3.03755291159437","2.53868601960132","2.99501766077209","2.93417721785465","5.5528618470584","5.66017406415022","5.71407165634838","4.55047313269298",0.767725052822016,1,0.998657205197301,1
"RIOX1","0.00323422135127347","0.222605173386264","3.08529577618595","0.714368429893076","3.01729789944999","3.30412586468521","1.59311994931236","2.76391965921307","1.52941239547125","0.468631006328666",0.121688749778691,1,0.998657205197301,1
"ACOT4","0.592350389979152","0.355707392913228","2.60289722835873","3.17643489821004","2.67707211918461","2.48480521026416","0.827771851612268","0.852068719329461","0.855728281627176","0.412073515214461",0.818406569910775,1,0.998657205197301,1
"ACOT6","0.139997735534861","0.962942213313446","2.21352271071716","3.73746612859656","2.33222178725145","2.53201190184943","2.00690729995514","5.84477115341403","1.7398229830278","2.06632741174513",0.480118816350568,1,0.998657205197301,1
"PNMA1","0.667845757890653","0.732905482259581","3.03379579590058","3.05976027648383","3.01507787971691","3.09711461164928","44.3937229598537","37.0930620809182","43.9860967168129","40.5484219971712",0.858280733858308,1,0.998657205197301,1
"FAM161B","0.71776894680091","0.235895526943973","3.08397533979197","2.85458606348669","3.00445065327566","3.29766291203035","4.13334193932702","2.86643707540896","4.10482377009349","3.21020455372995",0.878820513611488,1,0.998657205197301,1
"ISCA2","0.379910159508294","0.373492424790411","3.06308799914456","3.53806273943029","3.05665677402975","3.379545134612","1.78121397287735","1.81566725425713","1.79123265761522","1.31712181636472",0.695798761475113,1,0.998657205197301,1
"EIF2B2","0.274795625301022","0.300206077453616","2.80199895468561","3.35209704810967","2.78332784847492","3.26579762299059","1.78750226532647","3.76080007355066","1.918311449193","1.84920566497919",0.618264699801655,1,0.998657205197301,1
"TMED10","0.944905649569557","0.752162862394175","3.20581996891744","3.12438576331533","3.14974789637155","3.27051986148058","12.2093112028229","10.5836392996851","11.989025186241","11.1735154902197",0.978974905440407,1,0.998657205197301,1
"FOS","0.457187016872367","0.139396258366675","2.37325213433801","0.961829741403092","2.23385456871451","0.116188477682884","1.44444602406256","2.23457508300046","1.65022667777841","0.363670439491251",0.746187109228104,1,0.998657205197301,1
"ESRRB","0.776752601901888","0.439994729700164","0.349564864339487","6.11487544630979","0.372603028391232","5.78056514246195","1.52132756150651","0.309954915007862","1.55759022352114","0.424599981353586",0.90347213094568,1,0.998657205197301,1
"IRF2BPL","0.000380286314335497","0.374135475856276","3.14950987435142","0.900247652089732","3.06919773663616","3.32370007153486","9.08592858421336","13.1485356346103","8.4966704478074","6.06940548561468",0.0577645558919914,1,0.998657205197301,1
"CIPC","0.919266093035699","0.41867320882278","3.21134227957265","3.18528590829936","3.19691250270162","3.2315092498137","8.74966762075782","7.37403723549022","8.9761095051876","5.77780658193937",0.968868184528366,1,0.998657205197301,1
"ZDHHC22","0.313599042502716","0.181415376309847","3.29557270152154","2.53306907527117","3.25468829426672","3.11101707285521","10.8747081428341","4.30405582753087","10.7963666594733","5.00564127704213",0.646988754612587,1,0.998657205197301,1
