"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"IRF8 (human)",0.71164708119338,0.829059829059829,0.282023904315774,"['ARHGAP9', 'RPS7', 'SNRPE', 'LRRC6']",0.997467786331646,0,0,4,"IRF8",0.997467786331646,0.833363570654896,0.598628806853708,NA,NA,NA,0.872469637979569,0.861260310821715,NA,NA,NA,NA
"ZNF354C (human)",0.715306168002677,0.814363968350578,0.272848267087962,"['RPS19BP1', 'RPL26', 'TMSB10']",0.997467786331646,0,0,3,"ZNF354C",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFAT2 (human)",0.725286410886676,0.800539083557951,0.257124069633725,"['MMRN1', 'RPSA', 'FAU']",0.997467786331646,0,0,3,"NFAT2",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELK4 (human)",0.725286410886676,0.800539083557951,0.257124069633725,"['FIS1', 'RPL21', 'SNRPE']",0.997467786331646,0,0,3,"ELK4",0.997467786331646,0.317649808388157,0.528419391823612,NA,NA,NA,0.950460226698931,0.939760079999907,NA,NA,NA,NA
"SOX10 (mouse)",0.734699971941181,0.770247933884298,0.237462095997999,"['LRRC6']",0.997467786331646,0,0,1,"SOX10",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MZF1 1-4 (human)",0.743679163070971,0.810731707317073,0.240094603246451,"['ARHGAP9', 'CLSTN2', 'NDUFS6', 'MGST1', 'SNHG6', 'SLC4A2']",0.997467786331646,0,0,6,"MZF1 1-4",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELK1 (mouse)",0.74445110053127,0.774165457184325,0.228462504871494,"['FIS1', 'NDUFS6', 'SNRPE']",0.997467786331646,0,0,3,"ELK1",0.997467786331646,0.171212594496773,0.927267391118494,NA,NA,NA,0.637916554442893,0.532109595615887,NA,NA,NA,NA
"SPI1 (human)",0.746296342227922,0.786425339366516,0.230133625756519,"['ARHGAP9', 'ADCY9', 'TEF', 'HCN1']",0.997467786331646,0,0,4,"SPI1",0.997467786331646,0.165157911404724,0.257177521343041,NA,NA,NA,0.997172562065135,0.999790090091945,NA,NA,NA,NA
"RXRA (mouse)",0.749752377198524,0.73596837944664,0.211967938849496,"['NME1']",0.997467786331646,0,0,1,"RXRA",0.997467786331646,0.242516644572052,0.135623902826167,NA,NA,NA,0.887170273416331,0.847190140217378,0.903059375070147,0.699804287284229,NA,0.630847161820879
"SP1 (mouse)",0.750743551384219,0.803225806451613,0.230277739575417,"['SLC6A6', 'FIS1', 'TEF', 'TUBB3', 'LTBR', 'TMSB10']",0.997467786331646,0,0,6,"SP1",0.997467786331646,0.350641026719462,0.5948985282725,NA,NA,NA,0.795859038015992,0.990675830657532,NA,NA,NA,NA
"FOXF1 (human)",0.753640059309793,0.761578044596912,0.215405038669478,"['TEF', 'KIAA0319', 'NME1']",0.997467786331646,0,0,3,"FOXF1",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIF1A (mouse)",0.760356944565714,0.731078904991948,0.200291707880695,"['ARHGAP9', 'NDUFB2']",0.997467786331646,0,0,2,"HIF1A",0.997467786331646,0.0395870095917021,0.00864889409515689,0.811070089044073,0.816934549730475,0.516675912508548,0.99691389836903,0.947257052015615,NA,NA,NA,NA
"NFATC3 (mouse)",0.762570315159473,0.749366375668826,0.203123668047389,"['ABCA7', 'TBC1D17', 'PLA2G7']",0.997467786331646,0,0,3,"NFATC3",0.997467786331646,0.00494003807057534,0.0777402939684599,NA,NA,NA,0.960693603787983,0.861328729738273,NA,NA,NA,NA
"CEBPD (human)",0.762570315159473,0.749366375668826,0.203123668047389,"['FIS1', 'NUDCD2', 'SNRPE']",0.997467786331646,0,0,3,"CEBPD",0.997467786331646,0.0222170695357594,0.115648429320478,0.953339085704555,0.955333776306772,0.277645458654494,0.951719367436354,0.995504838178824,NA,NA,NA,NA
