"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"GATA1 (human)",0.773869050173649,0.824489795918367,0.211360107415009,"['SLC10A4', 'TMEM100', 'TTC30B', 'TMEM200C', 'LYPD1', 'SAMD4A', 'CLNK', 'TNFSF9', 'OR6A2', 'SHISA2', 'NID2', 'PPCDC']",0.94962776922441,0,0,12,"GATA1",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP1 (mouse)",0.778443340742848,0.795625942684766,0.199271733984233,"['IGFBP5', 'HOMER1', 'MMRN2', 'LYPD1', 'KCNA4', 'NR2F2', 'MDGA1', 'SLC5A3']",0.94962776922441,0,0,8,"SP1",0.94962776922441,1.89385903187207e-13,5.21948349402696e-05,0.715210205630728,0.712082065104014,-0.301860768447438,0.0514164193064915,0.66167174480926,NA,NA,NA,NA
"NR3C1 (human)",0.779629978577264,0.785635359116022,0.195572812428252,"['TMEM100', 'MMRN2', 'ARMCX6', 'LYPD1', 'HLA-DRA', 'ERG', 'USP19']",0.94962776922441,0,0,7,"NR3C1",0.94962776922441,0.00670913132587476,0.172977103293131,NA,NA,NA,0.0283483891654976,0.421890374746939,0.4966454817253,0.787964983501911,NA,0.978612109332399
"Sox17 (mouse)",0.78183363120428,0.663469921534438,0.163288777738803,"['PIM3']",0.94962776922441,0,0,1,"Sox17",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXL1 (human)",0.785373696818057,0.847533247533248,0.204760326826035,"['C1QB', 'NTNG1', 'POPDC2', 'CD74', 'ENPEP', 'NPFFR1', 'PLEKHF1', 'HOMER1', 'ANXA2', 'DCAKD', 'AMPD2', 'PTGS2', 'AXDND1', 'C1ORF53', 'SLC5A3', 'MCHR1', 'TMEM100', 'SVOPL', 'DIAPH3', 'RAB13', 'ERG', 'RBMS2']",0.94962776922441,0,0,22,"FOXL1",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEAD2 (mouse)",0.792233263209729,0.748350742166025,0.174290443537237,"['SALL1', 'DCAKD', 'KCNA4', 'NR2F2', 'SYTL3']",0.94962776922441,0,0,5,"TEAD2",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZFHX3 (human)",0.793587775656986,0.771739130434783,0.178419239151719,"['ENPEP', 'MARS2', 'LYPD1', 'NR2F2', 'NUPR1', 'AXDND1', 'DNAJC28']",0.94962776922441,0,0,7,"ZFHX3",0.94962776922441,1.96833160105275e-06,0.0504176472688769,0.644923116213576,0.641038142285631,-0.522850983334135,0.578548032391323,0.0936408972813536,NA,NA,NA,NA
"ETV4 (mouse)",0.796926455677181,0.756943630610571,0.1718208153835,"['TTC30B', 'IL1R1', 'CHEK2', 'NPY1R', 'GAL3ST3', 'PPCDC']",0.94962776922441,0,0,6,"ETV4",0.94962776922441,1.54541717933826e-12,2.61334120621497e-06,0.912867063400631,0.910740317890792,-0.0479515827115613,0.0206522142168635,0.0702013896005994,NA,NA,NA,NA
"HOXD9 (human)",0.796926455677181,0.756943630610571,0.1718208153835,"['MAVS', 'GMNN', 'SHISA2', 'ERG', 'PTGS2', 'ZNF511']",0.94962776922441,0,0,6,"HOXD9",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI1 (mouse)",0.801648082948216,0.751921733053808,0.1662390424908,"['C1QB', 'ADAMTS5', 'EPAS1', 'ADRA1D', 'FUT2', 'SYTL3']",0.94962776922441,0,0,6,"SPI1",0.94962776922441,0.0424743047194677,0.00918297434744895,0.684461905615094,0.683250749126459,0.69909238190846,0.857753195022588,0.845742203286456,NA,NA,NA,NA
"CBFB (human)",0.802216098648526,0.696205170975813,0.153427786393077,"['ADAMTS5', 'CARD14', 'SYTL3']",0.94962776922441,0,0,3,"CBFB",0.94962776922441,5.81372178882485e-05,0.438163633318913,NA,NA,NA,0.999535363657903,0.240013256054558,0.552032234331508,0.718500551150925,NA,0.417952100550827
"USF1 (human)",0.802444955648068,0.736827847758364,0.162169927506727,"['C12ORF49', 'AMPD2', 'RAB3IL1', 'NR2F2', 'GAL3ST3']",0.94962776922441,0,0,5,"USF1",0.94962776922441,9.1551054528563e-05,0.0102970347486403,0.897515151561228,0.894946048058011,-0.351267165673168,0.0845821411993873,0.131062387075288,NA,NA,NA,NA
"PITX2 (human)",0.804120288456153,0.817176870748299,0.178149794689953,"['IFITM3', 'GMNN', 'FUT2', 'AXDND1', 'C1ORF53', 'DNAJC28', 'TMEM100', 'MAVS', 'TTC30B', 'C12ORF49', 'RAB13', 'HLA-DRA', 'HORMAD1', 'NUPR1', 'ERG', 'LRP10']",0.94962776922441,0,0,16,"PITX2",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUN (human)",0.819719608172798,0.796266233766234,0.158292104400309,"['NTNG1', 'C11ORF95', 'HOMER1', 'TMEM200C', 'SLC5A3', 'USP19', 'TMEM100', 'NRIP2', 'CDHR2', 'RAB24', 'MMRN2', 'PIM3', 'ERG', 'CARD14']",0.963461909132009,0,0,14,"JUN",0.963461909132009,0.0101192963326101,0.047756322397991,0.563391210046751,0.559585651666943,0.57206653524855,0.38345016342748,0.159399466547774,NA,NA,NA,NA
