"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"ATF4","ATF4","MA0833.2","-1.04331",0.852383,0.759406,0.762907,0.0522633,288,"False",1,0.00287022060362636,0.194646092281601,0.824426763257678,0.833036645900166,-0.514671018812951,0.97177514085969,1
"PROP1","PROP1","MA0715.1","-1.04422",0.852604,0.736491,0.741717,0.0783916,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"RXRG","RXRG","MA0856.1","-1.04461",0.852881,0.727064,0.729869,0.0467408,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"RORB","RORB","MA1150.1","-1.05277",0.854732,0.82336,0.826326,0.0484031,288,"False",1,0.0775030325395906,0.00690795712614111,0.62948830511187,0.638215769042572,0.538173346861508,0.959799575518654,1
"FIGLA","FIGLA","MA0820.1","-1.05868",0.855991,0.860904,0.863992,0.0476158,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"TBX20","TBX20","MA0689.1","-1.06159",0.856644,0.7973,0.800256,0.0452517,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Dlx2","Dlx2","MA0885.1","-1.06336",0.85706,0.855096,0.860045,0.0762886,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"LHX6","LHX6","MA0658.1","-1.06288",0.857136,0.803299,0.80722,0.0666064,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"GSX2","GSX2","MA0893.2","-1.06381",0.857295,0.888529,0.892,0.0574381,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXB5","HOXB5","MA0904.2","-1.07577",0.86002,0.84945,0.853491,0.0671974,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"RXRB","RXRB","MA1555.1","-1.08011",0.860724,0.761071,0.763751,0.0383187,288,"False",1,0.0264005613470877,0.598985031450657,0.786366199610922,0.796315113829642,-0.761333291455104,0.661988387176816,0.957291793147474
"THAP11","THAP11","MA1573.1","-1.08161",0.861011,0.710161,0.713794,0.0502927,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Prdm15","Prdm15","MA1616.1","-1.08473",0.862032,0.771749,0.774667,0.0485823,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Arx","Arx","MA0874.1","-1.08535",0.862152,0.729344,0.733105,0.0621043,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Nkx3-2","Nkx3-2","MA0122.3","-1.08785",0.862442,0.771786,0.775699,0.0556844,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU2F1","POU2F1","MA0785.1","-1.09541",0.86409,0.775904,0.780451,0.0637304,288,"False",1,0.0315749564204884,0.77982801279294,NA,NA,NA,0.979638759644307,1
"Nr2f6","Nr2f6","MA0677.1","-1.10091",0.865473,0.741504,0.744364,0.0444611,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"PAX3","PAX3","MA0780.1","-1.10266",0.865716,0.72407,0.72919,0.0734184,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Bach1","Bach1::Mafk","MA0591.1","-1.10687",0.866675,0.763694,0.76653,0.0416529,288,"False",1,0.000122174467231899,0.00316998096056681,0.639095392974991,0.648598787517483,-0.0662598472648431,0.788696137395683,0.970624946430401
"Mafk","Bach1::Mafk","MA0591.1","-1.10687",0.866675,0.763694,0.76653,0.0416529,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU6F1","POU6F1","MA1549.1","-1.10685",0.866689,0.829968,0.833784,0.056663,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"ATOH7","ATOH7","MA1468.1","-1.10813",0.867107,0.847188,0.84984,0.0424409,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZNF354C","ZNF354C","MA0130.1","-1.10865",0.867257,0.959889,0.962358,0.0402104,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZFP42","ZFP42","MA1651.1","-1.11041",0.867343,0.72957,0.732999,0.0473194,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU3F1","POU3F1","MA0786.1","-1.1115",0.867608,0.771918,0.776844,0.0692708,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"ALX3","ALX3","MA0634.1","-1.11412",0.868226,0.828156,0.8326,0.0645118,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Rbpjl","Rbpjl","MA1621.1","-1.11606",0.868592,0.827889,0.831368,0.0489381,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","-1.12041",0.86962,0.835566,0.839285,0.0553012,288,"False",1,0.309270013635779,0.0347051590411948,0.665207059015598,0.675684679933594,0.692334702503134,0.822385639323233,0.967748468992626
"SOX8","SOX8","MA0868.2","-1.12828",0.871207,0.824415,0.828354,0.0554833,288,"False",1,NA,NA,NA,NA,NA,NA,NA
