TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
MAFF,MAFF,MA0495.3,-0.903594,0.817011,0.735928,0.743798,0.0524698,38.0,False,0.9808576972010178
EBF1,EBF1,MA0154.4,-0.905424,0.817469,0.774313,0.782074,0.0451169,38.0,False,0.9808576972010178
ATOH7,ATOH7,MA1468.1,-0.913797,0.819691,0.843841,0.84984,0.0370709,38.0,False,0.9808576972010178
SOX9,SOX9,MA0077.1,-0.91419,0.819788,0.83602,0.843883,0.0470405,38.0,False,0.9808576972010178
JUN,JUN,MA0489.1,-0.916803,0.820472,0.792694,0.800788,0.0477619,38.0,False,0.9808576972010178
HOXA5,HOXA5,MA0158.2,-0.921346,0.82168,0.854713,0.863656,0.0580049,38.0,False,0.9808576972010178
Nr1h3,Nr1h3::Rxra,MA0494.1,-0.924994,0.822569,0.788592,0.793816,0.0225939,38.0,False,0.9808576972010178
Rxra,Nr1h3::Rxra,MA0494.1,-0.924994,0.822569,0.788592,0.793816,0.0225939,38.0,False,0.9808576972010178
Nobox,Nobox,MA0125.1,-0.926466,0.823015,0.847203,0.856964,0.0633272,38.0,False,0.9808576972010178
MSX2,MSX2,MA0708.1,-0.92855,0.823566,0.828452,0.839384,0.0740387,38.0,False,0.9808576972010178
ZBTB12,ZBTB12,MA1649.1,-0.930905,0.824141,0.832835,0.840757,0.0453833,38.0,False,0.9808576972010178
Ar,Ar,MA0007.3,-0.932331,0.824547,0.718584,0.725172,0.0447619,38.0,False,0.9808576972010178
HOXA2,HOXA2,MA0900.2,-0.944969,0.827753,0.821459,0.833052,0.0646497,38.0,False,0.9808576972010178
NR2C2,NR2C2,MA1536.1,-0.94528,0.827857,0.941543,0.947009,0.0344488,38.0,False,0.9808576972010178
PAX7,PAX7,MA0680.1,-0.946046,0.828013,0.706941,0.718947,0.060689,38.0,False,0.9808576972010178
TGIF2,TGIF2,MA0797.1,-0.951634,0.82945,0.723112,0.730896,0.043264,38.0,False,0.9808576972010178
MNX1,MNX1,MA0707.1,-0.953359,0.829891,0.847633,0.857582,0.0563495,38.0,False,0.9808576972010178
TEAD2,TEAD2,MA1121.1,-0.954705,0.830223,0.793906,0.802032,0.0438175,38.0,False,0.9808576972010178
HOXD3,HOXD3,MA0912.2,-0.955513,0.830441,0.807963,0.818275,0.059791,38.0,False,0.9808576972010178
