"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"GATA2","GATA2","MA0036.3","-1.2998",0.904167,0.813914,0.818733,0.0678763,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Foxo1","Foxo1","MA0480.1","-1.30811",0.905547,0.827,0.831147,0.0570842,316,"False",1,3.81788507436379e-05,0.230100487529578,0.530760858967874,0.52340788467104,-0.673587993421685,0.199701411570344,0.532997478981047
"HOXD11","HOXD11","MA0908.1","-1.30805",0.905578,0.806843,0.811412,0.0642337,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"BSX","BSX","MA0876.1","-1.30762",0.905607,0.881219,0.886044,0.0712087,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"BHLHE23","BHLHE23","MA0817.1","-1.30906",0.905616,0.756545,0.760671,0.0540431,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"LHX1","LHX1","MA1518.1","-1.31087",0.906073,0.881434,0.885667,0.0599814,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"CUX1","CUX1","MA0754.1","-1.31175",0.90626,0.769287,0.774403,0.0737891,316,"False",1,2.9549529926883e-06,0.011400310124144,NA,NA,NA,0.992918624716033,0.617468608484233
"RXRG","RXRG","MA0856.1","-1.3223",0.90784,0.726479,0.729869,0.0441047,316,"False",1,0.00135822386616698,0.0879770177670302,0.901388695136049,0.903416357227427,0.0910040091338986,0.956350214515398,0.906579832437113
"Foxj3","Foxj3","MA0851.1","-1.32443",0.908256,0.775005,0.779994,0.0671559,316,"False",1,0.000410456559720162,0.662680677894718,NA,NA,NA,0.525353408899239,0.445153098657835
"SOX2","SOX2","MA0143.4","-1.33026",0.909356,0.818627,0.823216,0.0658912,316,"False",1,0.000218318651694284,0.258759275052389,0.515993456745991,NA,-0.116642296761977,0.912417500092168,0.724769227878771
"FOXO6","FOXO6","MA0849.1","-1.3394",0.910735,0.848292,0.853485,0.0700856,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"SIX1","SIX1","MA1118.1","-1.3397",0.910886,0.784583,0.788541,0.0562166,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"CLOCK","CLOCK","MA0819.1","-1.34096",0.911003,0.804809,0.808379,0.0485227,316,"False",1,0.0973795509715754,0.636009102636874,NA,NA,NA,0.264125511922351,0.757727195932499
"NFIL3","NFIL3","MA0025.2","-1.35161",0.912744,0.765072,0.770336,0.0720788,316,"False",1,0.014869313923267,0.338741363410746,0.998698991685596,0.998695634676394,-0.0368363709480853,0.9891767335941,0.882675469649462
"Hoxa11","Hoxa11","MA0911.1","-1.35405",0.913072,0.793109,0.797164,0.0537365,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Nr1h3","Nr1h3::Rxra","MA0494.1","-1.35343",0.913081,0.791153,0.793816,0.0372904,316,"False",1,0.431930073467392,0.571527106053381,NA,NA,NA,0.608805227989238,0.778823244019316
"Rxra","Nr1h3::Rxra","MA0494.1","-1.35343",0.913081,0.791153,0.793816,0.0372904,316,"False",1,9.28769040523331e-06,0.00474500000724265,0.954714451479705,0.95452713909748,-0.0180692110368137,0.551285844498922,0.93803969239934
"GSX1","GSX1","MA0892.1","-1.35517",0.913359,0.861246,0.865483,0.0592844,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"EVX2","EVX2","MA0888.1","-1.35885",0.91385,0.846125,0.850599,0.059647,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXA1","HOXA1","MA1495.1","-1.36103",0.914261,0.864377,0.869061,0.06452,316,"False",1,NA,NA,NA,NA,NA,NA,NA
