NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MIS18BP1	1	MIS18BP1	
MMP16	1	MMP16	
RALBP1	1	RALBP1	
CTXN3	1	CTXN3	
NALF1	1	FAM155A	
MCC	1	MCC	
METTL26	1	METTL26	
RPS5	1	RPS5	
C17orf78	1	C17orf78	
TTC39B	1	TTC39B	
SEC14L5	1	SEC14L5	
MED16	1	MED16	
DLEU2L	1	DLEU2L	
P4HA2	1	P4HA2	
OCA2	1	OCA2	
NFIL3	1	NFIL3	
SLBP	1	SLBP	
MYBBP1A	1	MYBBP1A	
SMIM29	1	SMIM29	
ACAD8	1	ACAD8	
SCX	1	SCX	
ZNF700	1	ZNF700	
UROS	1	UROS	
MCM8	1	MCM8	
SKP2	1	SKP2	
RSRC2	1	RSRC2	
PEX16	1	PEX16	
RPL19	1	RPL19	
NAT16	1	NAT16	
EMD	1	EMD	
MED13L	1	MED13L	
DERA	1	DERA	
TLE2	1	TLE2	
EIF4G1	1	EIF4G1	
CDH10	1	CDH10	
ZNF652	1	ZNF652	
SERPINE2	1	SERPINE2	
ACTR2	1	ACTR2	
PRDX6	1	PRDX6	
CCDC39	1	CCDC39	
TSPYL2	1	TSPYL2	
ANKRD55	1	ANKRD55	
RPS14	1	RPS14	
OSBPL2	1	OSBPL2	
DNAJC5G	1	DNAJC5G	
MPG	1	MPG	
COPRS	1	COPRS	
ABI3BP	1	ABI3BP	
DPM3	1	DPM3	
ANKRD9	1	ANKRD9	
FOXP1-IT1	1	FOXP1-IT1	
ACOT4	1	ACOT4	
XIST	1	XIST	
KDF1	1	KDF1	
TXNDC15	1	TXNDC15	
CAMKK1	1	CAMKK1	
ABCB7	1	ABCB7	
NT5C	1	NT5C	
CUBN	1	CUBN	
SCN2B	1	SCN2B	
SPTSSA	1	SPTSSA	
STT3A	1	STT3A	
CA3	1	CA3	
RINL	1	RINL	
CHRNB2	1	CHRNB2	
ZFP28	1	ZFP28	
CPB2	1	CPB2	
ATP6V0B	1	ATP6V0B	
RPL11	1	RPL11	
SLC44A5	1	SLC44A5	
TRMT44	1	TRMT44	
SARAF	1	SARAF	
MAST2	1	MAST2	
RWDD1	1	RWDD1	
SGTB	1	SGTB	
PSAP	1	PSAP	
PPP1R1B	1	PPP1R1B	
CMAS	1	CMAS	
BRI3BP	1	BRI3BP	
ANP32E	1	ANP32E	
CCDC167	1	CCDC167	
SNX11	1	SNX11	
MDGA2	1	MDGA2	
LSM1	1	LSM1	
UBE2M	1	UBE2M	
APEH	1	APEH	
LGALSL-DT	1	LGALSL-DT	
DOCK2	1	DOCK2	
LYPLA2	1	LYPLA2	
RALB	1	RALB	
PFDN4	1	PFDN4	
CCDC43	1	CCDC43	
ZNF281	1	ZNF281	
USP11	1	USP11	
ENKUR	1	ENKUR	
ZNF385D	1	ZNF385D	
EPS8L2	1	EPS8L2	
EPCAM	1	EPCAM	
ZMYM3	1	ZMYM3	
NKIRAS2	1	NKIRAS2	
EPN1	1	EPN1	
CPHXL	1	CPHXL	
PCNA	1	PCNA	
RNF41	1	RNF41	
TMEM198	1	TMEM198	
FLRT1	1	FLRT1	
DLK2	1	DLK2	
TBL2	1	TBL2	
TSHZ1	1	TSHZ1	
ADAMTS2	1	ADAMTS2	
TCEAL7	1	TCEAL7	
ZC3H15	1	ZC3H15	
IL18	1	IL18	
FBXW5	1	FBXW5	
MED29	1	MED29	
LRTM2	1	LRTM2	
CFAP20	1	CFAP20	
SQSTM1	1	SQSTM1	
GNL1	1	GNL1	
UNC119B	1	UNC119B	
BATF3	1	BATF3	
CBX4	1	CBX4	
SPRED2	1	SPRED2	
LYPLAL1-DT	1	LYPLAL1-DT	
ZNF596	1	ZNF596	
EPN3	1	EPN3	
ACP1	1	ACP1	
TRIO	1	TRIO	
LRRC47	1	LRRC47	
ATP1A1	1	ATP1A1	
RBM3	1	RBM3	
MALRD1	1	MALRD1	
SDF2	1	SDF2	
TMEM170B	1	TMEM170B	
ZCCHC8	1	ZCCHC8	
DNALI1	1	DNALI1	
OR6A2	1	OR6A2	
ZNF785	1	ZNF785	
ZNF850	1	ZNF850	
DIRAS2	1	DIRAS2	
GLO1	1	GLO1	
CNTLN	1	CNTLN	
PDHA1	1	PDHA1	
DIPK1B	1	DIPK1B	
BCL7A	1	BCL7A	
KIFBP	1	KIF1BP	
CABLES2	1	CABLES2	
MRPL23	1	MRPL23	
NUBP2	1	NUBP2	
BBS9	1	BBS9	
EFCC1	1	EFCC1	
VPS26A	1	VPS26A	
RPS8	1	RPS8	
DCLRE1B	1	DCLRE1B	
CDH4	1	CDH4	
PRKCD	1	PRKCD	
CEND1	1	CEND1	
CX3CL1	1	CX3CL1	
DNAJC5	1	DNAJC5	
HSPBP1	1	HSPBP1	
CIPC	1	CIPC	
HSPA9	1	HSPA9	
EFL1	1	EFL1	
GEMIN4	1	GEMIN4	
YAP1	1	YAP1	
HNRNPR	1	HNRNPR	
PTPRG	1	PTPRG	
TRIM39	1	TRIM39	
PDZRN4	1	PDZRN4	
ARFGAP1	1	ARFGAP1	
MAP1LC3B2	1	MAP1LC3B2	
TINF2	1	TINF2	
C19orf18	1	C19orf18	
HSPA2	1	HSPA2	
MRPL35	1	MRPL35	
GATAD2A	1	GATAD2A	
BOD1	1	BOD1	
MFSD5	1	MFSD5	
BAG5	1	BAG5	
OLFM3	1	OLFM3	
ZNF230	1	ZNF230	
RAB11FIP5	1	RAB11FIP5	
GTF2A1	1	GTF2A1	
CNTN1	1	CNTN1	
TNFAIP8L1	1	TNFAIP8L1	
TOMM7	1	TOMM7	
LCN15	1	LCN15	
PANTR1	1	PANTR1	
PLCE1	1	PLCE1	
PCSK1N	1	PCSK1N	
HS6ST1	1	HS6ST1	
DOC2B	1	DOC2B	
YIPF6	1	YIPF6	
PMFBP1	1	PMFBP1	
PPEF1	1	PPEF1	
BAIAP2-DT	1	BAIAP2-DT	
WDR62	1	WDR62	
FOSL2	1	FOSL2	
KCTD10	1	KCTD10	
STK10	1	STK10	
ZC3H3	1	ZC3H3	
INSYN1	1	INSYN1	
VPS13C	1	VPS13C	
TKT	1	TKT	
CARMIL3	1	CARMIL3	
CYP27A1	1	CYP27A1	
FGF14-IT1	1	FGF14-IT1	
EGLN2	1	EGLN2	
TMEM121	1	TMEM121	
ATP7B	1	ATP7B	
C5orf24	1	C5orf24	
DNAJB2	1	DNAJB2	
PCSK1	1	PCSK1	
CHST12	1	CHST12	
FMC1	1	FMC1	
THOP1	1	THOP1	
LRRTM3	1	LRRTM3	
NFKB1	1	NFKB1	
COX7C	1	COX7C	
ARL6IP4	1	ARL6IP4	
CASQ1	1	CASQ1	
TSPYL5	1	TSPYL5	
UTP3	1	UTP3	
RGS2	1	RGS2	
FAM199X	1	FAM199X	
CGGBP1	1	CGGBP1	
TM2D2	1	TM2D2	
CAPN1	1	CAPN1	
PBX4	1	PBX4	
NFE2L3	1	NFE2L3	
MAP7D1	1	MAP7D1	
ATXN7L3B	1	ATXN7L3B	
ADRA1B	1	ADRA1B	
CENPW	1	CENPW	
TMEM47	1	TMEM47	
LRRTM4	1	LRRTM4	
MRAS	1	MRAS	
PRKACA	1	PRKACA	
FBXL15	1	FBXL15	
OR9Q1	1	OR9Q1	
DEDD2	1	DEDD2	
SMIM30	1	SMIM30	
CSNK2B	1	CSNK2B	
TACO1	1	TACO1	
KAT2B	1	KAT2B	
RFK	1	RFK	
FBXO17	1	FBXO17	
ASB1	1	ASB1	
TSPAN11	1	TSPAN11	
LYRM7	1	LYRM7	
THPO	1	THPO	
DMAC2	1	DMAC2	
CDKN1A	1	CDKN1A	
MSANTD3	1	MSANTD3	
CSMD3	1	CSMD3	
PABPC1L2A	1	PABPC1L2A	
B3GAT2	1	B3GAT2	
ZCWPW2	1	ZCWPW2	
MAML2	1	MAML2	
CNP	1	CNP	
ZNHIT1	1	ZNHIT1	
UGCG	1	UGCG	
ABHD3	1	ABHD3	
ZNF593	1	ZNF593	
NUP210L	1	NUP210L	
LAMP5	1	LAMP5	
CIART	1	CIART	
QPCT	1	QPCT	
STEAP1B	1	STEAP1B	
FAU	1	FAU	
SLC16A10	1	SLC16A10	
EEF1G	1	EEF1G	
PAWR	1	PAWR	
HMGCR	1	HMGCR	
NUDT4	1	NUDT4	
RTRAF	1	RTRAF	
MZT2B	1	MZT2B	
ASPHD2	1	ASPHD2	
TMEM14C	1	TMEM14C	
ZNF692	1	ZNF692	
ZFAS1	1	ZFAS1	
STOM	1	STOM	
HSPB1	1	HSPB1	
CFL2	1	CFL2	
ATG10	1	ATG10	
PLAC1	1	PLAC1	
DUSP23	1	DUSP23	
NAT14	1	NAT14	
PDPK1	1	PDPK1	
CIDEA	1	CIDEA	
PPARGC1B	1	PPARGC1B	
SLC25A53	1	SLC25A53	
IRGQ	1	IRGQ	
PIK3R2	1	PIK3R2	
DCTN1	1	DCTN1	
SLC35A2	1	SLC35A2	
IKBKB	1	IKBKB	
PAM16	1	PAM16	
TBCE	1	TBCE	
ATP11C	1	ATP11C	
PAFAH1B2	1	PAFAH1B2	
PCDHA10	1	PCDHA10	
TMEM9B	1	TMEM9B	
MICOS10	1	MICOS10	
OPRL1	1	OPRL1	
NAP1L2	1	NAP1L2	
ATOSA	1	FAM214A	
PLCXD2	1	PLCXD2	
VPS37D	1	VPS37D	
GPR156	1	GPR156	
CLDN4	1	CLDN4	
DGAT2	1	DGAT2	
NR4A1	1	NR4A1	
UBE2I	1	UBE2I	
PSMC5	1	PSMC5	
PNRC1	1	PNRC1	
GSKIP	1	GSKIP	
HLA-C	1	HLA-C	
CCDC69	1	CCDC69	
RAPGEF3	1	RAPGEF3	
SBK1	1	SBK1	
DENND4A	1	DENND4A	
PRKN	1	PRKN	
ERLIN2	1	ERLIN2	
FAM210B	1	FAM210B	
RRAS2	1	RRAS2	
MRFAP1L1	1	MRFAP1L1	
TTLL5	1	TTLL5	
KDELR2	1	KDELR2	
PUS7	1	PUS7	
WBP2	1	WBP2	
MYOM1	1	MYOM1	
LDAF1	1	TMEM159	
RHEBL1	1	RHEBL1	
ERVMER34-1	1	ERVMER34-1	
HTR3B	1	HTR3B	
TMEM185B	1	TMEM185B	
C19orf48P	1	C19orf48	
TEF	1	TEF	
IMPDH2	1	IMPDH2	
TM2D3	1	TM2D3	
ZFC3H1	1	ZFC3H1	
IPO7	1	IPO7	
LSM14B	1	LSM14B	
UNC93B1	1	UNC93B1	
F5	1	F5	
PRMT1	1	PRMT1	
RPL26L1	1	RPL26L1	
AARS2	1	AARS2	
TSTD1	1	TSTD1	
WIPF3	1	WIPF3	
CNIH3	1	CNIH3	
STYXL1	1	STYXL1	
OCRL	1	OCRL	
CSMD1	1	CSMD1	
HYAL2	1	HYAL2	
RAB6B	1	RAB6B	
ANKRD40	1	ANKRD40	
FER	1	FER	
C1QL2	1	C1QL2	
PSMC3	1	PSMC3	
OSBPL9	1	OSBPL9	
PLS1	1	PLS1	
AMOTL2	1	AMOTL2	
ROS1	1	ROS1	
JADE2	1	JADE2	
CCDC28B	1	CCDC28B	
LRRC49	1	LRRC49	
A1BG	1	A1BG	
ELAC2	1	ELAC2	
UBE2Q1	1	UBE2Q1	
DCDC2C	1	DCDC2C	
BRD3	1	BRD3	
NSUN5	1	NSUN5	
CHDH	1	CHDH	
ERN1	1	ERN1	
EGFR	1	EGFR	
CACYBP	1	CACYBP	
NME3	1	NME3	
RTN4IP1	1	RTN4IP1	
HIGD1C	1	HIGD1C	
ZNF469	1	ZNF469	
COMMD8	1	COMMD8	
KHDRBS2	2	KHDRBS2:KHDRBS2-OT	
DNAJB6	1	DNAJB6	
ZNF79	1	ZNF79	
SDCBP	1	SDCBP	
TNRC18	1	TNRC18	
ACSL5	1	ACSL5	
SGK1	1	SGK1	
RCOR2	1	RCOR2	
NENF	1	NENF	
DISC1FP1	1	DISC1FP1	
MEIKIN	1	MEIKIN	
ALDH1A2	1	ALDH1A2	
CRNKL1	1	CRNKL1	
OPHN1	1	OPHN1	
GMPR2	1	GMPR2	
EIF1B	1	EIF1B	
PDZK1	1	PDZK1	
SEPHS2	1	SEPHS2	
LAMP1	1	LAMP1	
HSPH1	1	HSPH1	
SLC35C1	1	SLC35C1	
FREM3	1	FREM3	
CLIC5	1	CLIC5	
FMN1	1	FMN1	
PLK5	1	PLK5	
SPDYE6	1	SPDYE6	
NDUFA12	1	NDUFA12	
SLC25A41	1	SLC25A41	
WNT9A	1	WNT9A	
SVBP	1	SVBP	
PRDM16	1	PRDM16	
CNTN3	1	CNTN3	
EGR3	1	EGR3	
RHBDD2	1	RHBDD2	
RTN4R	1	RTN4R	
LENG1	1	LENG1	
ANKS6	1	ANKS6	
CCNDBP1	1	CCNDBP1	
REEP5	1	REEP5	
NPDC1	1	NPDC1	
RIMS3	1	RIMS3	
GPATCH3	1	GPATCH3	
CWC15	1	CWC15	
RNF180	1	RNF180	
ARID5A	1	ARID5A	
DRC1	1	DRC1	
ZNF831	1	ZNF831	
DGKD	1	DGKD	
RASD1	1	RASD1	
S100A6	1	S100A6	
FGF7	1	FGF7	
TMEM229A	1	TMEM229A	
IDH3B	1	IDH3B	
PTP4A2	1	PTP4A2	
NGB	1	NGB	
GRWD1	1	GRWD1	
CCDC61	1	CCDC61	
CA4	1	CA4	
C1QTNF3	1	C1QTNF3	
CAPS2	1	CAPS2	
CREB3	1	CREB3	
C1orf56	1	C1orf56	
NFKBIE	1	NFKBIE	
NPIPB5	1	NPIPB5	
TCP11L2	1	TCP11L2	
MCUR1	1	MCUR1	
THYN1	1	THYN1	
VSIG1	1	VSIG1	
VPS25	1	VPS25	
CYB5R3	1	CYB5R3	
STX10	1	STX10	
CRIM1-DT	1	CRIM1-DT	
FBXW12	1	FBXW12	
ZNF782	1	ZNF782	
SPINK8	1	SPINK8	
UTP11	1	UTP11	
SHC3	1	SHC3	
RPL7A	1	RPL7A	
STRIP1	1	STRIP1	
C6orf47	1	C6orf47	
VSTM4	1	VSTM4	
SBDS	1	SBDS	
ADAM7	1	ADAM7	
B3GNT5	1	B3GNT5	
COA7	1	COA7	
EEFSEC	1	EEFSEC	
MYLK4	1	MYLK4	
ATXN7	1	ATXN7	
DISC1	1	DISC1	
JCAD	1	JCAD	
PELI3	1	PELI3	
ECHDC2	1	ECHDC2	
NAA16	1	NAA16	
SEPTIN8	1	SEPTIN8	
EID2B	1	EID2B	
ATP6V0C	1	ATP6V0C	
LMO4	1	LMO4	
PDE1A	1	PDE1A	
PIGS	1	PIGS	
RPAP2	1	RPAP2	
DISP1	1	DISP1	
SULT4A1	1	SULT4A1	
LRRC24	1	LRRC24	
ASIC2	1	ASIC2	
FBXO21	1	FBXO21	
DTNA	1	DTNA	
NBEA	1	NBEA	
FOS	1	FOS	
ZNF581	1	ZNF581	
C2CD3	1	C2CD3	
VPS35	1	VPS35	
GOLGA6L10	1	GOLGA6L10	
TBC1D4	1	TBC1D4	
ECI1	1	ECI1	
MCRIP1	1	MCRIP1	
MRPL47	1	MRPL47	
ANKRD34A	1	ANKRD34A	
SMAD9	1	SMAD9	
CNKSR3	1	CNKSR3	
NRG4	1	NRG4	
EMC1	1	EMC1	
SCRG1	1	SCRG1	
NEK7	1	NEK7	
FCHSD1	1	FCHSD1	
KLHL21	1	KLHL21	
TF	1	TF	
TARBP2	1	TARBP2	
HNRNPAB	1	HNRNPAB	
FLRT2	1	FLRT2	
OOSP3	1	OOSP3	
SS18L2	1	SS18L2	
CHRM1	1	CHRM1	
COX20	1	COX20	
CBX3	1	CBX3	
EDDM13	1	EDDM13	
ZNF385B	1	ZNF385B	
MLX	1	MLX	
SLC27A3	1	SLC27A3	
CYSTM1	1	CYSTM1	
FBXL8	1	FBXL8	
MOV10	1	MOV10	
EIF3G	1	EIF3G	
NRF1	1	NRF1	
ZNF26	1	ZNF26	
ERP44	1	ERP44	
GPR82	1	GPR82	
PDRG1	1	PDRG1	
DHX38	1	DHX38	
TPBG	1	TPBG	
P4HA1	1	P4HA1	
IQCM	1	IQCM	
MAPK8	1	MAPK8	
CNIH1	1	CNIH1	
B4GALNT1	1	B4GALNT1	
ANAPC13	1	ANAPC13	
NPM1	1	NPM1	
LYVE1	1	LYVE1	
INAFM2	1	INAFM2	
RAB27A	1	RAB27A	
RBM33	1	RBM33	
ATP6V1G2	1	ATP6V1G2	
ADCYAP1	1	ADCYAP1	
TRAPPC2	1	TRAPPC2	
PFN2	1	PFN2	
YIF1A	1	YIF1A	
HSPA12A	1	HSPA12A	
TMEFF2	1	TMEFF2	
RMST	1	RMST	
CDKAL1	1	CDKAL1	
FCRLB	1	FCRLB	
CALHM1	1	CALHM1	
ST13	1	ST13	
PPP1R15A	1	PPP1R15A	
BCL7C	1	BCL7C	
IQCK	1	IQCK	
TNFSF13B	1	TNFSF13B	
HCG17	1	HCG17	
RPRML	1	RPRML	
NXN	1	NXN	
PCDH1	1	PCDH1	
STX4	1	STX4	
FUT10	1	FUT10	
SPCS2	1	SPCS2	
LMBRD2	1	LMBRD2	
DNAJC22	1	DNAJC22	
MRPS18A	1	MRPS18A	
TMEM81	1	TMEM81	
RAB3B	1	RAB3B	
KATNAL2	1	KATNAL2	
NDRG1	1	NDRG1	
RPS3	1	RPS3	
ETV3	1	ETV3	
ZNF724	1	ZNF724	
CDH13	1	CDH13	
LEFTY1	1	LEFTY1	
ZNF518B	1	ZNF518B	
ARGFX	1	ARGFX	
HDAC4	1	HDAC4	
OMG	1	OMG	
MRPL55	1	MRPL55	
RBP4	1	RBP4	
CNPPD1	1	CNPPD1	
NAA30	1	NAA30	
METTL13	1	EEF1AKNMT	
C6orf163	1	C6orf163	
PCSK2	1	PCSK2	
COQ10A	1	COQ10A	
HSPA4	1	HSPA4	
REC114	1	REC114	
FBXO45	1	FBXO45	
MCAT	1	MCAT	
TOMM22	1	TOMM22	
PHLDA1	1	PHLDA1	
RAI14	1	RAI14	
MAD2L1	1	MAD2L1	
CCDC3	1	CCDC3	
AMH	1	AMH	
EMC7	1	EMC7	
PDE3A	1	PDE3A	
MOGS	1	MOGS	
SLC17A7	1	SLC17A7	
SPON2	1	SPON2	
C12orf75	1	C12orf75	
MYDGF	1	MYDGF	
CD163L1	1	CD163L1	
CD99	1	CD99	
NR4A3	1	NR4A3	
PRKCG	1	PRKCG	
TMEM134	1	TMEM134	
SLC8A3	1	SLC8A3	
BGLAP	1	BGLAP	
MPP1	1	MPP1	
SYNC	1	SYNC	
DCX	1	DCX	
SOX5	1	SOX5	
G6PD	1	G6PD	
UBE2E2	1	UBE2E2	
APBB1	1	APBB1	
FKBP1B	1	FKBP1B	
SNTG1	1	SNTG1	
PITHD1	1	PITHD1	
VPS13A	1	VPS13A	
HYOU1	1	HYOU1	
MRPS12	1	MRPS12	
PPCS	1	PPCS	
TCEA2	1	TCEA2	
KCNIP4	1	KCNIP4	
SERBP1	1	SERBP1	
POLR2E	1	POLR2E	
IRF2BPL	1	IRF2BPL	
CDIPT	1	CDIPT	
TPO	1	TPO	
NCR3LG1	1	NCR3LG1	
EPM2AIP1	1	EPM2AIP1	
ADAMTS17	1	ADAMTS17	
TMEM97	1	TMEM97	
SFR1	1	SFR1	
ZNF592	1	ZNF592	
PARD6G	1	PARD6G	
ZNF672	1	ZNF672	
KMO	1	KMO	
IDH3A	1	IDH3A	
ROBO1	1	ROBO1	
BAD	1	BAD	
EHD1	1	EHD1	
CC2D1B	1	CC2D1B	
RIMS1	1	RIMS1	
TNFSF9	1	TNFSF9	
DCTN6	1	DCTN6	
ZNF487	1	ZNF487	
ITGA10	1	ITGA10	
CPLX1	1	CPLX1	
ADAMTS19	1	ADAMTS19	
TRIR	1	TRIR	
TCEAL1	1	TCEAL1	
SMG6	1	SMG6	
CDV3	1	CDV3	
KCNQ1OT1	1	KCNQ1OT1	
DNAH17	1	DNAH17	
MAPK1	1	MAPK1	
CCNA2	1	CCNA2	
CSDE1	1	CSDE1	
ADGRL2	1	ADGRL2	
YWHAG	1	YWHAG	
GPANK1	1	GPANK1	
DPH2	1	DPH2	
SLC25A20	1	SLC25A20	
TRMT10C	1	TRMT10C	
HSPA1B	1	HSPA1B	
EPHB6	1	EPHB6	
MAP3K21	1	MAP3K21	
SMC2	1	SMC2	
UPP2	1	UPP2	
STK33	1	STK33	
RPLP1	1	RPLP1	
PCDH12	1	PCDH12	
COASY	1	COASY	
HSF5	1	HSF5	
NLRC4	1	NLRC4	
IGFBP3	1	IGFBP3	
ME1	1	ME1	
SP1	1	SP1	
HSDL1	1	HSDL1	
CARTPT	1	CARTPT	
CPSF1	1	CPSF1	
FAM3C	1	FAM3C	
SLC9A2	1	SLC9A2	
POLR3H	1	POLR3H	
NET1	1	NET1	
SCAPER	1	SCAPER	
COPS8	1	COPS8	
KCNN2	1	KCNN2	
SOX15	1	SOX15	
FRMD6	1	FRMD6	
ATP2B3	1	ATP2B3	
TRIM22	1	TRIM22	
SLC22A13	1	SLC22A13	
SLK	1	SLK	
RRM2B	1	RRM2B	
BCKDK	1	BCKDK	
SNX21	1	SNX21	
THAP5	1	THAP5	
YPEL3	1	YPEL3	
KIAA1143	1	KIAA1143	
SBF1	1	SBF1	
FBL	1	FBL	
RPS29	1	RPS29	
BRINP3	1	BRINP3	
PLD6	1	PLD6	
HOMER1	1	HOMER1	
CDC34	1	CDC34	
DLGAP3	1	DLGAP3	
CD164	1	CD164	
SEMA5A	1	SEMA5A	
EIF3C	1	EIF3C	
DDB1	1	DDB1	
DHCR7	1	DHCR7	
LIMA1	1	LIMA1	
APLP1	1	APLP1	
ANKRD20A3P	1	ANKRD20A3	
TRAM1L1	1	TRAM1L1	
TBR1	1	TBR1	
MIPEP	1	MIPEP	
STEAP2	1	STEAP2	
E2F1	1	E2F1	
JAKMIP1	1	JAKMIP1	
SMIM20	1	SMIM20	
PDE4D	1	PDE4D	
NEUROD6	1	NEUROD6	
MPP4	1	MPP4	
IFIT2	1	IFIT2	
TUBB4A	1	TUBB4A	
TMEM140	1	TMEM140	
RPL27	1	RPL27	
DAD1	1	DAD1	
ANKRD24	1	ANKRD24	
TNFAIP8	1	TNFAIP8	
DAPK2	1	DAPK2	
SYT4	1	SYT4	
NECAB3	1	NECAB3	
ATF1	1	ATF1	
STPG4	1	STPG4	
POU6F2	1	POU6F2	
NFKBIB	1	NFKBIB	
FRMD3	1	FRMD3	
CYP3A7	1	CYP3A7	
MAGI2	1	MAGI2	
CDK16	1	CDK16	
NLRC3	1	NLRC3	
OPRK1	1	OPRK1	
APLP2	1	APLP2	
PLPP7	1	PLPP7	
RCC1	1	RCC1	
KIF22	1	KIF22	
CDKL4	1	CDKL4	
ARL6IP1	1	ARL6IP1	
SFT2D2	1	SFT2D2	
C2orf49	1	C2orf49	
MRPL10	1	MRPL10	
ZBTB8A	1	ZBTB8A	
C10orf95	1	C10orf95	
PRRT1	1	PRRT1	
MLLT3	1	MLLT3	
ZFP36L2	1	ZFP36L2	
CRYBB2	1	CRYBB2	
ABCA9	1	ABCA9	
ALOX5	1	ALOX5	
TRIM23	1	TRIM23	
SULF2	1	SULF2	
NPIPB3	1	NPIPB3	
PRXL2A	1	PRXL2A	
FAM181B	1	FAM181B	
BNIP3	1	BNIP3	
NACC1	1	NACC1	
SRSF7	1	SRSF7	
PHLDB1	1	PHLDB1	
ZNF845	1	ZNF845	
RBM47	1	RBM47	
ANO10	1	ANO10	
TESK1	1	TESK1	
IL1RAP	1	IL1RAP	
MADD	1	MADD	
FN3KRP	1	FN3KRP	
DIRAS1	1	DIRAS1	
UBE2S	1	UBE2S	
GML	1	GML	
TRAF1	1	TRAF1	
MED21	1	MED21	
INSYN2A	1	INSYN2A	
B3GALT1	1	B3GALT1	
SPATA17	1	SPATA17	
IDS	1	IDS	
GAS2	1	GAS2	
RPS27L	1	RPS27L	
RFFL	1	RFFL	
MAP2K1	1	MAP2K1	
SCMH1	1	SCMH1	
GDF10	1	GDF10	
ADRB1	1	ADRB1	
TMSB10	1	TMSB10	
COL21A1	1	COL21A1	
TRIM45	1	TRIM45	
TMPRSS9	1	TMPRSS9	
CIRBP	1	CIRBP	
TMEM200A	1	TMEM200A	
GRIA1	1	GRIA1	
RUNDC3A	1	RUNDC3A	
ARHGAP27	1	ARHGAP27	
PDZD11	1	PDZD11	
PDCD2	1	PDCD2	
GPR135	1	GPR135	
PRSS12	1	PRSS12	
RAG1	1	RAG1	
B9D2	1	B9D2	
PABPC1L2B	1	PABPC1L2B	
MCOLN1	1	MCOLN1	
MRPL44	1	MRPL44	
LRRC4C	1	LRRC4C	
SAMD3	1	SAMD3	
MIF4GD	1	MIF4GD	
HCG11	1	HCG11	
IRAK1	1	IRAK1	
ZBTB14	1	ZBTB14	
H3-3B	1	H3F3B	
NAT8L	1	NAT8L	
TMPRSS11F	1	TMPRSS11F	
FRMPD2	1	FRMPD2	
FAM168B	1	FAM168B	
KLF5	1	KLF5	
OXGR1	1	OXGR1	
TMIE	1	TMIE	
RDH14	1	RDH14	
DLL1	1	DLL1	
CPEB3	1	CPEB3	
TXN2	1	TXN2	
ACTB	1	ACTB	
AFF1	1	AFF1	
TOB1	1	TOB1	
ELOVL7	1	ELOVL7	
LYRM4	1	LYRM4	
PNMA8C	1	PNMA8C	
SLITRK1	1	SLITRK1	
GTF2IRD2	1	GTF2IRD2	
SAMD1	1	SAMD1	
KCTD3	1	KCTD3	
ARHGEF28	1	ARHGEF28	
TNXB	1	TNXB	
MARCKS	1	MARCKS	
CCDC192	1	CCDC192	
ETFBKMT	1	ETFBKMT	
PAXX	1	PAXX	
ATP6AP2	1	ATP6AP2	
ZNF138	1	ZNF138	
SCN1B	1	SCN1B	
VAV2	1	VAV2	
C5orf47	1	C5orf47	
BICDL2	1	BICDL2	
ASNSD1	1	ASNSD1	
AP1G2	1	AP1G2	
SH3BP1	1	SH3BP1	
HYCC1	1	FAM126A	
CDK5RAP2	1	CDK5RAP2	
KIAA1958	1	KIAA1958	
SLC49A4	1	SLC49A4	
TRIM67	1	TRIM67	
RNASEH2C	1	RNASEH2C	
ZFP36L1	1	ZFP36L1	
MYRIP	1	MYRIP	
EIF4B	1	EIF4B	
BHLHE22	1	BHLHE22	
TUBB	1	TUBB	
ZHX1	1	ZHX1	
SAMD5	1	SAMD5	
NFE2L1	1	NFE2L1	
GSTM3	1	GSTM3	
ORAI3	1	ORAI3	
AFG2A	1	SPATA5	
SPIDR	1	SPIDR	
PHF23	1	PHF23	
FBXL17	1	FBXL17	
ARL15	1	ARL15	
RASL10A	1	RASL10A	
ISCU	1	ISCU	
PRKD3	1	PRKD3	
JAK2	1	JAK2	
CTTNBP2	1	CTTNBP2	
NLGN4Y	1	NLGN4Y	
MKRN2OS	1	MKRN2OS	
STMN4	1	STMN4	
DNAJA2	1	DNAJA2	
TDRD6	1	TDRD6	
MRPS24	1	MRPS24	
SEL1L2	1	SEL1L2	
SCRN1	1	SCRN1	
ACLY	1	ACLY	
CASC18	1	CASC18	
ZFAND4	1	ZFAND4	
LYSMD2	1	LYSMD2	
HDX	1	HDX	
YWHAE	1	YWHAE	
C21orf62	1	C21orf62	
OTUD5	1	OTUD5	
YIPF5	1	YIPF5	
CASP8AP2	1	CASP8AP2	
NYAP2	1	NYAP2	
MINDY4B	1	MINDY4B	
UPF1	1	UPF1	
AKAP17A	1	AKAP17A	
DHRS3	1	DHRS3	
SLC35B4	1	SLC35B4	
MRC2	1	MRC2	
PDCL3	1	PDCL3	
CEP152	1	CEP152	
CTDNEP1	1	CTDNEP1	
FAM234A	1	FAM234A	
FRAT1	1	FRAT1	
PARP1	1	PARP1	
MSTO1	1	MSTO1	
ST6GAL2	1	ST6GAL2	
HLA-DQB1	1	HLA-DQB1	
MRPL43	1	MRPL43	
RBM4B	1	RBM4B	
INSL6	1	INSL6	
POLR1C	1	POLR1C	
