GENE_SYMBOLS,refseq_ids
RABAC1,NM_006423
ATP1A3,NM_001256213
TOMM40,NM_001128916
AP2S1,NM_001301076
TMEM160,NM_017854
SELENOW,NM_003009
KDELR1,NM_006801
RPL18,NM_000979
BAX,NM_001291428
FTL,NM_000146
RPL13A,NM_001270491
IRF3,NM_001197122
PRKCG,NM_001316329
RPS9,NM_001013
RPL28,NM_000991
UBE2S,NM_014501
ZNF587B,NM_001204818
ZSCAN18,NM_001145542
RPS5,NM_001009
UBE2M,NM_003969
MZF1,NM_001267033
NOP56,NM_006392
MRPS26,NM_030811
DDRGK1,NM_023935
CHGB,NM_001819
SNRPB2,NM_003092
SMIM26,NM_001348957
MAPRE1,NM_012325
MAP1LC3A,NM_032514
GSS,NM_000178
SCAND1,NM_001385710
RAB5IF,NM_001199534
MANBAL,NM_001003897
SLC32A1,NM_080552
DBNDD2,NM_001048221
ZNF335,NM_022095
ZFAS1,NR_003604
PFDN4,NM_002623
CBLN4,NM_080617
FAM210B,NM_080821
ATP5F1E,NM_006886
RPS21,NM_001024
ATP5PF,NM_001003696
IFNGR2,NM_001329128
ATP5PO,NM_001697
CSTB,NM_000100
MRPL40,NM_001318151
RANBP1,NM_001278639
CHCHD10,NM_001301339
MIF,NM_002415
DDT,NM_001084392
ASPHD2,NM_020437
AP1B1,NM_001127
UQCR10,NM_001003684
SF3A1,NM_001005409
SELENOM,NM_080430
PIK3IP1,NM_001135911
TXN2,NM_012473
EIF3D,NM_003753
NOL12,NM_024313
RPL3,NM_000967
RPS19BP1,NM_194326
MCHR1,NM_005297
SEPTIN3,NM_001363845
SMDT1,NM_033318
NDUFA6,NM_002490
PPARA,NM_001001928
TMSB4X,NM_021109
NHS,NM_001136024
DMD,NM_000109
ATP6AP2,NM_005765
NDUFB11,NM_001135998
UBA1,NM_003334
USP11,NM_001371072
UXT,NM_004182
TIMM17B,NM_001167947
OTUD5,NM_001136157
SYP,NM_003179
PPP1R3F,NM_001184745
RPS4X,NM_001007
COX7B,NM_001866
TAF9B,NM_015975
PCDH11X,NM_001168360
RPL36A,NM_001199972
ARMCX3,NM_016607
ZMAT1,NM_001011657
TCEAL2,NM_080390
TCEAL6,NM_001006938
BEX5,NM_001012978
BEX1,NM_018476
BEX4,NM_001080425
TCEAL8,NM_001006684
TCEAL5,NM_001012979
BEX2,NM_001168399
TCEAL7,NM_001348258
BEX3,NM_001282674
TCEAL4,NM_001006935
TCEAL3,NM_001006933
SLC25A5,NM_001152
RPL39,NM_001000
NDUFA1,NM_004541
IDH3G,NM_004135
RPL10,NM_001256577
LAGE3,NM_006014
UBL4A,NM_014235
VBP1,NM_001303543
